"Parameter","If other","Unit","Type of infectious disease model","Mixing","Study","Pathogen","Variant/Strain","Host","Host type","Host breed","Host Age (group)","Host other characterics","Seeder / Inoculated vaccinated","Contact vaccinated","Vaccine","Value","Lower confidence/credible level","Upper confidence / credible level","Frequentist / Bayesian estimation","Estimation method","Remarks","Reference","doi","Filled in by:"
"Transmission parameter",NA,NA,NA,NA,"Observational","Campylobacter","jejuni","Chicken","Broiler",NA,NA,NA,NA,NA,NA,0.13,0.11,0.17,NA,NA,"Semi commercial farms in Jordan","Neves et al., 2019","doi:10.1017/S0950268818003308","AA"
"Transmission parameter",NA,NA,NA,NA,"Observational","Campylobacter",NA,"Chicken","Broiler",NA,NA,NA,NA,NA,NA,1.78,1.66,1.95,"Bayesian","posterior","A Bayesian model framework was applied to multiple longitudinal datasets on Campylobacter infection in UK broiler flocks to estimate the time at which each flock was first infected with Campylobacter. The model results suggest that the day of first infection ranges from 10 to 45 days; however, over half had a time of infection between 30 and 35 days.","Goddard et al., 2013","doi:10.1017/S0950268813002926","AA"
"Basic reproduction number",NA,NA,NA,NA,"Review","Classical Swine Fever",NA,NA,"weaner",NA,NA,NA,NA,NA,NA,81.3,NA,NA,NA,NA,"Extensive review of CSF transmission","Ribbens et al., 2011","https://doi.org/10.1080/01652176.2004.9695177","AA"
"Basic reproduction number",NA,NA,NA,NA,"Review","Classical Swine Fever",NA,NA,"weaner",NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,"Extensive review of CSF transmission","Ribbens et al., 2011","https://doi.org/10.1080/01652176.2004.9695177","AA"
"Basic reproduction number",NA,NA,NA,NA,"Review","Classical Swine Fever",NA,NA,"slaughter",NA,NA,NA,NA,NA,NA,13.7,NA,NA,NA,NA,"Extensive review of CSF transmission","Ribbens et al., 2011","https://doi.org/10.1080/01652176.2004.9695177","AA"
"Basic reproduction number",NA,NA,NA,NA,"Review","Classical Swine Fever",NA,NA,"slaughter",NA,NA,NA,NA,NA,NA,15.5,NA,NA,NA,NA,"Extensive review of CSF transmission","Ribbens et al., 2011","https://doi.org/10.1080/01652176.2004.9695177","AA"
"Basic reproduction number",NA,NA,NA,NA,"Review","Classical Swine Fever",NA,NA,"gilts",NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,"Extensive review of CSF transmission","Ribbens et al., 2011","https://doi.org/10.1080/01652176.2004.9695177","AA"
"Basic reproduction number","between pen",NA,NA,NA,"Review","Classical Swine Fever",NA,NA,"weaner",NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,NA,"Extensive review of CSF transmission","Ribbens et al., 2011","https://doi.org/10.1080/01652176.2004.9695177","AA"
"Basic reproduction number","between pen",NA,NA,NA,"Review","Classical Swine Fever",NA,NA,"slaughter",NA,NA,NA,NA,NA,NA,3.39,NA,NA,NA,NA,"Extensive review of CSF transmission","Ribbens et al., 2011","https://doi.org/10.1080/01652176.2004.9695177","AA"
"Transmission parameter","indirect transmission (livestock truck)",NA,NA,NA,"Review","Classical Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,NA,NA,NA,NA,"Extensive review of CSF transmission","Ribbens et al., 2011","https://doi.org/10.1080/01652176.2004.9695177","AA"
"Transmission parameter","within farm",NA,"SI",NA,"Observational","Classical Swine Fever",NA,NA,"farrowing",NA,NA,NA,NA,NA,NA,8.52,NA,NA,NA,NA,"A new stochastic and spatial model was developed to evaluate the potential spread of classical swine fever virus (CSFV) within- and between-farms, and considering the specific farm-to-farm contact network","Martinez-Lopez et al., 2011","https://doi.org/10.1016/j.vetmic.2010.07.009","AA"
"Transmission parameter","within farm",NA,"SI",NA,"Observational","Classical Swine Fever",NA,NA,"fattening",NA,NA,NA,NA,NA,NA,1.85,NA,NA,NA,NA,"A new stochastic and spatial model was developed to evaluate the potential spread of classical swine fever virus (CSFV) within- and between-farms, and considering the specific farm-to-farm contact network","Martinez-Lopez et al., 2011","https://doi.org/10.1016/j.vetmic.2010.07.009","AA"
"Transmission parameter","within farm",NA,"SI",NA,"Observational","Classical Swine Fever",NA,NA,"farrow to finish",NA,NA,NA,NA,NA,NA,5.18,NA,NA,NA,NA,"A new stochastic and spatial model was developed to evaluate the potential spread of classical swine fever virus (CSFV) within- and between-farms, and considering the specific farm-to-farm contact network","Martinez-Lopez et al., 2011","https://doi.org/10.1016/j.vetmic.2010.07.009","AA"
"Basic reproduction number",NA,NA,"SI",NA,"Observational","Classical Swine Fever",NA,NA,"farrowing",NA,NA,NA,NA,NA,NA,2.98,0,15.25,NA,NA,"A new stochastic and spatial model was developed to evaluate the potential spread of classical swine fever virus (CSFV) within- and between-farms, and considering the specific farm-to-farm contact network","Martinez-Lopez et al., 2011","https://doi.org/10.1016/j.vetmic.2010.07.009","AA"
"Basic reproduction number",NA,NA,"SI",NA,"Observational","Classical Swine Fever",NA,NA,"farrow to finish",NA,NA,NA,NA,NA,NA,3.43,0,19,NA,NA,"A new stochastic and spatial model was developed to evaluate the potential spread of classical swine fever virus (CSFV) within- and between-farms, and considering the specific farm-to-farm contact network","Martinez-Lopez et al., 2011","https://doi.org/10.1016/j.vetmic.2010.07.009","AA"
"Basic reproduction number",NA,NA,"SI",NA,"Observational","Classical Swine Fever",NA,NA,"fattening",NA,NA,NA,NA,NA,NA,1.72,0,10,NA,NA,"A new stochastic and spatial model was developed to evaluate the potential spread of classical swine fever virus (CSFV) within- and between-farms, and considering the specific farm-to-farm contact network","Martinez-Lopez et al., 2011","https://doi.org/10.1016/j.vetmic.2010.07.009","AA"
"Reproduction number",NA,NA,"SI",NA,"Observational","Classical Swine Fever",NA,NA,"farrowing",NA,NA,NA,NA,NA,NA,2.05,0,2.5,NA,NA,"A new stochastic and spatial model was developed to evaluate the potential spread of classical swine fever virus (CSFV) within- and between-farms, and considering the specific farm-to-farm contact network","Martinez-Lopez et al., 2011","https://doi.org/10.1016/j.vetmic.2010.07.009","AA"
"Reproduction number",NA,NA,"SI",NA,"Observational","Classical Swine Fever",NA,NA,"farrow to finish",NA,NA,NA,NA,NA,NA,1.79,0,10.55,NA,NA,"A new stochastic and spatial model was developed to evaluate the potential spread of classical swine fever virus (CSFV) within- and between-farms, and considering the specific farm-to-farm contact network","Martinez-Lopez et al., 2011","https://doi.org/10.1016/j.vetmic.2010.07.009","AA"
"Reproduction number",NA,NA,"SI",NA,"Observational","Classical Swine Fever",NA,NA,"fattening",NA,NA,NA,NA,NA,NA,1.33,0,8,NA,NA,"A new stochastic and spatial model was developed to evaluate the potential spread of classical swine fever virus (CSFV) within- and between-farms, and considering the specific farm-to-farm contact network","Martinez-Lopez et al., 2011","https://doi.org/10.1016/j.vetmic.2010.07.009","AA"
"Reproduction number",NA,NA,"SI",NA,"Observational","Classical Swine Fever",NA,NA,"artificial insemination",NA,NA,NA,NA,NA,NA,0.2,0,0.9,NA,NA,"A new stochastic and spatial model was developed to evaluate the potential spread of classical swine fever virus (CSFV) within- and between-farms, and considering the specific farm-to-farm contact network","Martinez-Lopez et al., 2011","https://doi.org/10.1016/j.vetmic.2010.07.009","AA"
"Reproduction number",NA,NA,"SI",NA,"Observational","Classical Swine Fever",NA,NA,"slaughterhouse",NA,NA,NA,NA,NA,NA,0.05,0,0.12,NA,NA,"A new stochastic and spatial model was developed to evaluate the potential spread of classical swine fever virus (CSFV) within- and between-farms, and considering the specific farm-to-farm contact network","Martinez-Lopez et al., 2011","https://doi.org/10.1016/j.vetmic.2010.07.009","AA"
"Transmission parameter","air","day-1","SEIR",NA,"Observational","Classical Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.14,0.64,NA,NA,"The objectives of the present study were to quantify virus transmission within a compartment, differentiating between transmission within a pen, transmission between pens via contact through (open) pen partitions, and transmission via the air.","Weesendorp et al., 2014","https://doi.org/10.1016/j.vetmic.2014.10.022","AA"
"Transmission parameter","between pen","day-1","SEIR",NA,"Observational","Classical Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0,0.88,NA,NA,"The objectives of the present study were to quantify virus transmission within a compartment, differentiating between transmission within a pen, transmission between pens via contact through (open) pen partitions, and transmission via the air.","Weesendorp et al., 2014","https://doi.org/10.1016/j.vetmic.2014.10.022","AA"
"Transmission parameter","within pen","day-1","SEIR",NA,"Observational","Classical Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,0.86,18,NA,NA,"The objectives of the present study were to quantify virus transmission within a compartment, differentiating between transmission within a pen, transmission between pens via contact through (open) pen partitions, and transmission via the air.","Weesendorp et al., 2014","https://doi.org/10.1016/j.vetmic.2014.10.022","AA"
"Probability of transmission via direct contact",NA,NA,NA,NA,"Observational","Classical Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,"For a pig in contact with a Zoelen infected pig, infection is less likely. When contact with blood is excluded, the predicted overall probability of infection was only 0.08 over the entire infectious period.","Weesendorp et al., 2010","https://doi.org/10.1016/j.prevetmed.2010.11.010","AA"
"Probability of transmission via direct contact","direct animal contact",NA,NA,NA,"Observational","Classical Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277,NA,NA,NA,NA,"A spatial, stochastic, dynamic epidemiological simulation model linked to a sector-level market-and-trade model for The Netherlands were used. Outbreaks in sparsely and densely populated areas were compared under four different control strategies and with two alternative trade assumptions.","Mangen et al., 2002","https://doi.org/10.1016/S0167-5877(02)00155-1","AA"
"Probability of transmission via indirect contact","transport contact",NA,NA,NA,"Observational","Classical Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048,NA,NA,NA,NA,"A spatial, stochastic, dynamic epidemiological simulation model linked to a sector-level market-and-trade model for The Netherlands were used. Outbreaks in sparsely and densely populated areas were compared under four different control strategies and with two alternative trade assumptions.","Mangen et al., 2002","https://doi.org/10.1016/S0167-5877(02)00155-1","AA"
"Probability of transmission via indirect contact","Professional contact",NA,NA,NA,"Observational","Classical Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,"A spatial, stochastic, dynamic epidemiological simulation model linked to a sector-level market-and-trade model for The Netherlands were used. Outbreaks in sparsely and densely populated areas were compared under four different control strategies and with two alternative trade assumptions.","Mangen et al., 2002","https://doi.org/10.1016/S0167-5877(02)00155-1","AA"
"Transmission parameter","short infectious period, low transmission rate",NA,NA,NA,"Review","Classical Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,"EFSA report CSF","EFSA AHAW, 2021","https://doi.org/10.2903/j.efsa.2021.6707","AA"
"Transmission parameter","short infectious period, medium transmission rate",NA,NA,NA,"Review","Classical Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,"EFSA report CSF","EFSA AHAW, 2021","https://doi.org/10.2903/j.efsa.2021.6707","AA"
"Transmission parameter","short infectious period, high transmission rate",NA,NA,NA,"Review","Classical Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,"EFSA report CSF","EFSA AHAW, 2021","https://doi.org/10.2903/j.efsa.2021.6707","AA"
"Transmission parameter","Long infectious period, low transmission rate",NA,NA,NA,"Review","Classical Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,"EFSA report CSF","EFSA AHAW, 2021","https://doi.org/10.2903/j.efsa.2021.6707","AA"
"Transmission parameter","Long infectious period, medium transmission rate",NA,NA,NA,"Review","Classical Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,"EFSA report CSF","EFSA AHAW, 2021","https://doi.org/10.2903/j.efsa.2021.6707","AA"
"Transmission parameter","Long infectious period, high transmission rate",NA,NA,NA,"Review","Classical Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,"EFSA report CSF","EFSA AHAW, 2021","https://doi.org/10.2903/j.efsa.2021.6707","AA"
"Transmission parameter","environmental/indirect",NA,NA,NA,"Observational","Coxiella burnetii",NA,"cattle",NA,NA,NA,"milk",NA,NA,NA,0.61,NA,NA,NA,NA,"Probability distribution of the shedding routes for the I+ cows after 4 weeks post-calving","Courcoul et al., 2011","https://doi.org/10.1016/j.jtbi.2011.06.017","AA"
"Transmission parameter","environmental/indirect",NA,NA,NA,"Observational","Coxiella burnetii",NA,"cattle",NA,NA,NA,"mucus/faeces",NA,NA,NA,0.33,NA,NA,NA,NA,"Probability distribution of the shedding routes for the I+ cows after 4 weeks post-calving","Courcoul et al., 2011","https://doi.org/10.1016/j.jtbi.2011.06.017","AA"
"Transmission parameter","environmental/indirect",NA,NA,NA,"Observational","Coxiella burnetii",NA,"cattle",NA,NA,NA,"milk+musuc/faeces",NA,NA,NA,0.06,NA,NA,NA,NA,"Probability distribution of the shedding routes for the I+ cows after 4 weeks post-calving","Courcoul et al., 2011","https://doi.org/10.1016/j.jtbi.2011.06.017","AA"
"Transmission parameter","environmental/indirect",NA,NA,NA,"Observational","Coxiella burnetii",NA,"cattle",NA,NA,NA,"milk",NA,NA,NA,0.14,NA,NA,NA,NA,"Probability distribution of the shedding routes for the I+ cows in the 4 first weeks post-calving","Courcoul et al., 2011","https://doi.org/10.1016/j.jtbi.2011.06.017","AA"
"Transmission parameter","environmental/indirect",NA,NA,NA,"Observational","Coxiella burnetii",NA,"cattle",NA,NA,NA,"mucus/faeces",NA,NA,NA,0.5,NA,NA,NA,NA,"Probability distribution of the shedding routes for the I+ cows in the 4 first weeks post-calving","Courcoul et al., 2011","https://doi.org/10.1016/j.jtbi.2011.06.017","AA"
"Transmission parameter","environmental/indirect",NA,NA,NA,"Observational","Coxiella burnetii",NA,"cattle",NA,NA,NA,"milk+mucus/faeces",NA,NA,NA,0.36,NA,NA,NA,NA,"Probability distribution of the shedding routes for the I+ cows in the 4 first weeks post-calving","Courcoul et al., 2011","https://doi.org/10.1016/j.jtbi.2011.06.017","AA"
"Reproduction number","Rc",NA,NA,NA,"Observational","Coxiella burnetii",NA,"cattle",NA,NA,NA,NA,NA,NA,NA,1.5193,NA,NA,NA,NA,"A Deterministic Model for Q Fever Transmission Dynamics within Dairy Cattle Herds: Using Sensitivity Analysis and Optimal Controls","Asamoah et al., 2020","https://doi.org/10.1155/2020/6820608","AA"
"Transmission parameter","Proportion of bacteria shed through mucus and faeces filling the compartment","ρ",NA,NA,"Observational","Coxiella burnetii",NA,"cattle",NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,"Spread of Coxiella burnetii between dairy cattle herds in an enzootic region: modelling contributions of airborne transmission and trade","Pandit et al., 2016","https://doi.org/10.1186/s13567-016-0330-4","AA"
"Transmission parameter","beta distribution",NA,NA,NA,"Observational","Coxiella burnetii",NA,"cattle",NA,NA,NA,NA,NA,NA,NA,0.33,0.05,0.77,"Bayesian",NA,"Spread of Q fever within dairy cattle herds: key parameters inferred using a Bayesian approach","Courcoul et al., 2010","https://doi.org/10.1098/rspb.2010.0575","AA"
"Transmission parameter","environmental/indirect",NA,NA,NA,"Observational","Coxiella burnetii",NA,"goat",NA,NA,NA,"milk",NA,NA,NA,0.61,NA,NA,NA,NA,"Dairy goat demography and Q fever infection dynamics","Hogerwerf et al., 2013","https://doi.org/10.1186%2F1297-9716-44-28","AA"
"Transmission parameter","environmental/indirect",NA,NA,NA,"Observational","Coxiella burnetii",NA,"goat",NA,NA,NA,"mucus/faeces",NA,NA,NA,0.33,NA,NA,NA,NA,"Dairy goat demography and Q fever infection dynamics","Hogerwerf et al., 2013","https://doi.org/10.1186%2F1297-9716-44-28","AA"
"Transmission parameter","environmental/indirect",NA,NA,NA,"Observational","Coxiella burnetii",NA,"goat",NA,NA,NA,"milk+musuc/faeces",NA,NA,NA,0.06,NA,NA,NA,NA,"Dairy goat demography and Q fever infection dynamics","Hogerwerf et al., 2013","https://doi.org/10.1186%2F1297-9716-44-28","AA"
"Transmission parameter","environmental/indirect",NA,NA,NA,"Observational","Coxiella burnetii",NA,"goat",NA,NA,NA,"milk",NA,NA,NA,0.14,NA,NA,NA,NA,"Dairy goat demography and Q fever infection dynamics","Hogerwerf et al., 2013","https://doi.org/10.1186%2F1297-9716-44-28","AA"
"Transmission parameter","environmental/indirect",NA,NA,NA,"Observational","Coxiella burnetii",NA,"goat",NA,NA,NA,"mucus/faeces",NA,NA,NA,0.5,NA,NA,NA,NA,"Dairy goat demography and Q fever infection dynamics","Hogerwerf et al., 2013","https://doi.org/10.1186%2F1297-9716-44-28","AA"
"Transmission parameter","environmental/indirect",NA,NA,NA,"Observational","Coxiella burnetii",NA,"goat",NA,NA,NA,"milk+mucus/faeces",NA,NA,NA,0.36,NA,NA,NA,NA,"Dairy goat demography and Q fever infection dynamics","Hogerwerf et al., 2013","https://doi.org/10.1186%2F1297-9716-44-28","AA"
"Transmission parameter","transmission rate from ticks",NA,NA,NA,"Observational","Coxiella burnetii",NA,"livestock",NA,NA,NA,NA,NA,NA,NA,1e-04,NA,NA,NA,NA,"The purpose of analysing the transmission dynamism of Q fever (Coxiellosis) in livestock and incorporating ticks is to outline some management practices to minimise the spread of the disease in livestock. Ticks pass coxiellosis from an infected to a susceptible animal through a bite. The faecal matter can also contain coxiellosis, thus contaminating the environment and spreading the disease. First, a nonlinear integer order mathematical model is developed to represent the spread of this infectious disease in livestock. The proposed integer model investigates the positivity and boundedness, disease equilibria, basic reproduction number, bifurcation, and sensitivity analysis. Through mathematical analysis and numerical simulations, it shows that if the environmental transmission and the effective shedding rate of coxiella burnetii into the environment by both asymptomatic and symptomatic livestock are zero, then the usual threshold hold and it produces forward bifurcation. It is noticed that an increase in the recruitment rate of ticks produces backward bifurcation.","Asamoah et al., 2022","https://doi.org/10.1016/j.chaos.2022.111821","AA"
"Basic reproduction number",NA,NA,"SI",NA,"Experimental Stable","E. coli","VTEC O157","Cattle",NA,"Holstein Friesian","Calf",NA,NA,NA,NA,7.3,3.92,11.5,NA,NA,NA,"Schouten et al., 2009","https://doi.org/10.1017/S0950268808000320","AA"
"Basic reproduction number",NA,NA,"SI",NA,"Experimental Stable","E. coli","VTEC O157","Cattle",NA,"Holstein Friesian","Adult","Dairy cow",NA,NA,NA,0.7,0.48,1.04,NA,NA,NA,"Schouten et al., 2009","https://doi.org/10.1017/S0950268808000320","AA"
"Basic reproduction number",NA,NA,"SI",NA,"Experimental Stable","E. coli","VTEC O158","Cattle",NA,"Holstein Friesian",NA,"Group 1",NA,NA,NA,10.3,5.04,21.9,NA,NA,NA,"Schouten et al., 2009","https://doi.org/10.1017/S0950268808000320","AA"
"Basic reproduction number",NA,NA,"SI",NA,"Experimental Stable","E. coli","VTEC O159","Cattle",NA,"Holstein Friesian",NA,"Group 2",NA,NA,NA,6.4,3.64,10.9,NA,NA,NA,"Schouten et al., 2009","https://doi.org/10.1017/S0950268808000320","AA"
"Basic reproduction number",NA,NA,"SI",NA,"Experimental Stable","E. coli","VTEC O160","Cattle",NA,"Holstein Friesian",NA,"All",NA,NA,NA,7.3,3.92,11.5,NA,NA,NA,"Schouten et al., 2009","https://doi.org/10.1017/S0950268808000320","AA"
"Basic reproduction number",NA,NA,"SI",NA,"Experimental Field","E. coli","VTEC O161","Cattle",NA,"Holstein Friesian",NA,"Shedding season 1 (1999)",NA,NA,NA,0.62,0.48,1.62,NA,NA,NA,"Schouten et al., 2009","https://doi.org/10.1017/S0950268808000320","AA"
"Basic reproduction number",NA,NA,"SI",NA,"Experimental Field","E. coli","VTEC O162","Cattle",NA,"Holstein Friesian",NA,"Shedding season 2 (2000)",NA,NA,NA,0.87,0.48,1.04,NA,NA,NA,"Schouten et al., 2009","https://doi.org/10.1017/S0950268808000320","AA"
"Basic reproduction number",NA,NA,"SI",NA,"Experimental Field","E. coli","VTEC O163","Cattle",NA,"Holstein Friesian",NA,"Total study duration",NA,NA,NA,0.7,0.48,1.04,NA,NA,NA,"Schouten et al., 2009","https://doi.org/10.1017/S0950268808000320","AA"
"Basic reproduction number",NA,NA,"SI",NA,"Experimental Field","E. coli","VTEC O164","Cattle",NA,"Holstein Friesian",NA,"Total study duration (infectivity remains during non shedding season)",NA,NA,NA,0.71,0.53,0.99,NA,NA,NA,"Schouten et al., 2009","https://doi.org/10.1017/S0950268808000320","AA"
"Transmission parameter",NA,NA,"SI",NA,"Experimental Stable","E. coli","VTEC O158","Cattle",NA,"Holstein Friesian",NA,"Group 1",NA,NA,NA,0.37,0.18,0.78,NA,NA,NA,"Schouten et al., 2009","https://doi.org/10.1017/S0950268808000320","AA"
"Transmission parameter",NA,NA,"SI",NA,"Experimental Stable","E. coli","VTEC O159","Cattle",NA,"Holstein Friesian",NA,"Group 2",NA,NA,NA,0.23,0.13,0.39,NA,NA,NA,"Schouten et al., 2009","https://doi.org/10.1017/S0950268808000320","AA"
"Transmission parameter",NA,NA,"SI",NA,"Experimental Stable","E. coli","VTEC O160","Cattle",NA,"Holstein Friesian",NA,"All",NA,NA,NA,0.26,0.14,0.41,NA,NA,NA,"Schouten et al., 2009","https://doi.org/10.1017/S0950268808000320","AA"
"Transmission parameter",NA,NA,"SI",NA,"Experimental Field","E. coli","VTEC O161","Cattle",NA,"Holstein Friesian",NA,"Shedding season 1 (1999)",NA,NA,NA,0.022,0.017,0.058,NA,NA,NA,"Schouten et al., 2009","https://doi.org/10.1017/S0950268808000320","AA"
"Transmission parameter",NA,NA,"SI",NA,"Experimental Field","E. coli","VTEC O162","Cattle",NA,"Holstein Friesian",NA,"Shedding season 2 (2000)",NA,NA,NA,0.031,0.017,0.037,NA,NA,NA,"Schouten et al., 2009","https://doi.org/10.1017/S0950268808000320","AA"
"Transmission parameter",NA,NA,"SI",NA,"Experimental Field","E. coli","VTEC O163","Cattle",NA,"Holstein Friesian",NA,"Total study duration",NA,NA,NA,0.025,0.017,0.037,NA,NA,NA,"Schouten et al., 2009","https://doi.org/10.1017/S0950268808000320","AA"
"Transmission parameter",NA,NA,"SI",NA,"Experimental Field","E. coli","VTEC O164","Cattle",NA,"Holstein Friesian",NA,"Total study duration (infectivity remains during non shedding season)",NA,NA,NA,0.026,0.019,0.035,NA,NA,NA,"Schouten et al., 2009","https://doi.org/10.1017/S0950268808000320","AA"
"Basic reproduction number",NA,NA,"Continuous Markov Chain Model",NA,"Experimental Field","E. coli","O103","Cattle",NA,NA,"Multiple","Feed lots in North Texas",NA,NA,NA,0.8,NA,NA,NA,NA,NA,"Chen et al., 2016","https://doi.org/10.1128%2FAEM.00815-16","AA"
"Basic reproduction number",NA,NA,"Continuous Markov Chain Model",NA,"Experimental Field","E. coli","O157","Cattle",NA,NA,"Multiple","Feed lots in North Texas",NA,NA,NA,1.9,NA,NA,NA,NA,NA,"Chen et al., 2016","https://doi.org/10.1128%2FAEM.00815-16","AA"
"Basic reproduction number",NA,NA,"Continuous Markov Chain Model",NA,"Experimental Field","E. coli","O157","Cattle",NA,NA,"Multiple","Feed lots in North Texas",NA,NA,NA,1.3,NA,NA,NA,NA,NA,"Chen et al., 2016","https://doi.org/10.1128%2FAEM.00815-16","AA"
"Basic reproduction number",NA,NA,"SIS",NA,"Experimental Field","E. coli","VTEC O103","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.13,NA,NA,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Basic reproduction number",NA,NA,"SIS",NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.25,NA,NA,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Basic reproduction number",NA,NA,"SIS",NA,"Experimental Field","E. coli","VTEC O103","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,1.03,NA,NA,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Basic reproduction number",NA,NA,"SIS",NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.04,NA,NA,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Basic reproduction number",NA,NA,"SIS",NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,39,NA,NA,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Basic reproduction number",NA,NA,"SIS",NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.45,NA,NA,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Transmission parameter",NA,NA,"SIS",NA,"Experimental Field","E. coli","VTEC O103","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.001,0,0.008,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Transmission parameter",NA,NA,"SIS",NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.002,0,0.006,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Transmission parameter",NA,NA,"SIS",NA,"Experimental Field","E. coli","VTEC O103","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.005,0.002,0.009,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Transmission parameter",NA,NA,"SIS",NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,2e-04,0,0.003,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Transmission parameter",NA,NA,"SIS",NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.002,0,0.005,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Other","environmental transmission parameter (q)",NA,"SIS",NA,"Experimental Field","E. coli","VTEC O103","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.017,0.009,0.035,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Other","environmental transmission parameter (q)",NA,"SIS",NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.076,0.055,0.11,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Other","environmental transmission parameter (q)",NA,"SIS",NA,"Experimental Field","E. coli","VTEC O103","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.002,1e-04,0.009,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Other","environmental transmission parameter (q)",NA,"SIS",NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.061,0.043,0.1,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Other","environmental transmission parameter (q)",NA,"SIS",NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.125,0.085,0.2,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
"Other","environmental transmission parameter (q)",NA,"SIS",NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.12,0.07,0.2,NA,NA,NA,"Liu et al., 2007","https://doi.org/10.1017%2FS0950268806007722","AA"
