"","Parameter","If other","Unit","Type of infectious disease model","Mixing","Study","Pathogen","Variant/Strain","Host","Host type","Host breed","Host Age (group)","Host other characterics","Seeder / Inoculated vaccinated","Contact vaccinated","Vaccine","Value","Lower confidence/credible level","Upper confidence / credible level","Frequentist / Bayesian estimation","Estimation method","Remarks","Reference","doi","Filled in by:","ParameterType","Inoculated / Contact","Material","Test Type","study","Type of sample","Type of study","Time period","Country","Sampling purpose","Information level","Control pogramm in place","Type of programme","Coverage (regional/national)","Country status for the disease","Control plan type","Last updated","Link","Type","Table","Term","Explanation...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","Explanation...59","Denote major changes to the template in this sheet","...61","...62","Transmission Parameters","Latent/incubation","Pathogen Survival","Diagnostic","Within Herd prevalence","Regional Prevalence","Control Programme"
"1077","Infectious period",NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Nielsen et al., 2016",NA,"AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1078","Shape","gamma",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2016",NA,"AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1079","Shape","gamma",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2016",NA,"AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1080","Shape","gamma",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,NA,10,6,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Hu et al., 2017",NA,"AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1081","Shape","gamma",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,NA,19,3.2,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Hu et al., 2017",NA,"AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1082","Infectious period",NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Nielsen et al., 2016",NA,"AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1083","Infectious period",NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Gulenkin et al., 2011",NA,"AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1084","Infectious period",NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Gulenkin et al., 2011",NA,"AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1085","Shape","gamma",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,NA,9.12,10,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2018",NA,"AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1086","Shape","gamma",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,NA,22.2,5,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2018",NA,"AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1087","Infectious period",NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Gulenkin et al., 2011",NA,"AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1088","Infectious period",NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Gulenkin et al., 2011",NA,"AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1089","Infectious period",NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Pietschmann et al., 2015",NA,"AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1090","Infectious period",NA,NA,NA,NA,"Review","African Swine Fever","Armenia 2008","Pigs",NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Pietschmann et al., 2015",NA,"AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1091","Infectious period",NA,NA,NA,NA,"Review","African Swine Fever","Genotype IX","Pigs",NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Barongo et al., 2015",NA,"AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1092","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H5N2","Turkeys",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14675","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1093","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14676","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1094","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14677","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1095","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14678","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1096","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14679","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1097","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14680","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1098","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14681","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1099","Latent period",NA,"days",NA,NA,"Experimental","Avian Influenza","H5N1","Ducks",NA,NA,NA,NA,NA,NA,NA,1.73,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Niqueux et al.","https://doi.org/10.1111%2Ftbed.14685","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1100","Latent period",NA,"days",NA,NA,"Experimental","Avian Influenza","H5N2","Ducks",NA,NA,NA,NA,NA,NA,NA,2.267,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Niqueux et al.","https://doi.org/10.1111%2Ftbed.14686","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1101","Latent period",NA,"days",NA,NA,"Experimental","Avian Influenza","H5N3","Ducks",NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Niqueux et al.","https://doi.org/10.1111%2Ftbed.14687","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1102","Latent period",NA,"days",NA,NA,"Experimental","Avian Influenza","H7N1","Turkeys",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Saenz et al.","https://doi.org/10.1111%2Ftbed.14688","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1103","Latent period",NA,"days",NA,NA,"Experimental","Avian Influenza","H7N1","Turkeys",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Saenz et al.","https://doi.org/10.1111%2Ftbed.14689","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1104","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H7N1, H7N3","Turkeys",NA,NA,NA,NA,NA,NA,NA,2.9,2.4,3.4,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Comin et al.","https://doi.org/10.1111%2Ftbed.14690","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1105","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H7N1, H7N3","Turkeys",NA,NA,NA,NA,NA,NA,NA,8.6,3.8,33.8,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Comin et al.","https://doi.org/10.1111%2Ftbed.14691","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1106","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H7N7","Poultry",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Bos et al.","https://doi.org/10.1111%2Ftbed.14706","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1107","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H7N1","Turkeys",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Bos et al.","https://doi.org/10.1111%2Ftbed.14708","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1108","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H7N1","Chickens, broilers",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Bos et al.","https://doi.org/10.1111%2Ftbed.14709","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1109","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Marquetoux et al.","https://doi.org/10.1111%2Ftbed.14710","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1110","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Marquetoux et al.","https://doi.org/10.1111%2Ftbed.14711","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1111","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Marquetoux et al.","https://doi.org/10.1111%2Ftbed.14712","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Marquetoux et al.","https://doi.org/10.1111%2Ftbed.14713","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1113","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H7N7","Chickens",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Stegeman et al.","https://doi.org/10.1111%2Ftbed.14719","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1114","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H7N7","Chickens",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Stegeman et al.","https://doi.org/10.1111%2Ftbed.14720","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1115","Latent period",NA,"days",NA,NA,"Experimental","Avian Influenza","H7N1","Chickens",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14721","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1116","Latent period",NA,"days",NA,NA,"Experimental","Avian Influenza","H7N1","Chickens",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14722","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1117","Latent period",NA,"days",NA,NA,"Experimental","Avian Influenza","H7N3","Chickens",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14723","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1118","Latent period",NA,"days",NA,NA,"Experimental","Avian Influenza","H7N3","Chickens",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14724","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1119","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H7N3","Chickens, layers",NA,NA,NA,NA,NA,NA,NA,0.02,0.01,0.04,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14726","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1120","Latent period",NA,"days",NA,NA,"Field","Avian Influenza","H7N3","Chickens, layers",NA,NA,NA,NA,NA,NA,NA,0.03,0.01,0.04,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14728","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1121","Latent period",NA,"days",NA,NA,"Experimental","Avian Influenza","H7N7","Layer chickens",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14729","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1122","Latent period",NA,"days",NA,NA,"Experimental","Avian Influenza","H7N7","Layer chickens",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14730","AA","InfectiousLatentIncubatperiod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
