"","Parameter","Pathogen","Host","Host type","Host breed","Host Age (group)","Host  other characterics","Type of study","Time period","Value","Lower confidence/credible level","Upper confidence / credible level","Remarks","Reference","doi","Filled in by:"
"96","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"Sows","Faeces","Survey","1998-2000",0,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"97","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"All ages","Faeces","Survey","1998-2000",0.171,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"98","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"3-6 weeks","IgG","Survey","1998-2000",0.3,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"99","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"8-10 weeks","IgG","Survey","1998-2000",0.833,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"100","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"12-13 weeks","IgG","Survey","1998-2000",0.733,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"101","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"22 weeks","IgG","Survey","1998-2000",1,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"102","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"Sows","IgG","Survey","1998-2000",1,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"103","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"All ages","IgG","Survey","1998-2000",0.776,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"104","Within herd prevalence","Hepatitis E","Pigs",NA,NA,NA,"conventional farm","Survey","2004",0.72,NA,NA,"The estimated average within-herd seroprevalence was significantly higher for pigs raised on organic farms (89%) than for pigs raised on conventional farms (72%, P = 0.04) and nearly significant for pigs raised on free-range farms (76%, P = 0.06). Six of ten organic farms were estimated to have a within-herd seroprevalence of >95%, compared with 1 of 10 and 4 of 10 of the free-range and conventional pig farms, respectively.","Rutjes et al., 2014","https://doi.org/10.4315/0362-028X.JFP-13-302","AA"
"105","Within herd prevalence","Hepatitis E","Pigs",NA,NA,NA,"organic farm","Survey","2004",0.89,NA,NA,"The estimated average within-herd seroprevalence was significantly higher for pigs raised on organic farms (89%) than for pigs raised on conventional farms (72%, P = 0.04) and nearly significant for pigs raised on free-range farms (76%, P = 0.06). Six of ten organic farms were estimated to have a within-herd seroprevalence of >95%, compared with 1 of 10 and 4 of 10 of the free-range and conventional pig farms, respectively.","Rutjes et al., 2014","https://doi.org/10.4315/0362-028X.JFP-13-302","AA"
"106","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"total",NA,"Survey",NA,0.495,NA,NA,"The objective of this study was to examine the prevalence of Hepatitis E virus (HEV) in the Danish pig population. Faecal samples from 97 pigs, 1–5 months of age were analysed for HEV RNA by a new PriProET real time RT-PCR assay. In addition, serum samples from 71 sow herds were screened for the presence of anti-HEV IgG antibodies by ELISA.","Breum et al., 2010","https://doi.org/10.1016/j.vetmic.2010.05.002","AA"
"107","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"sows",NA,"Survey",NA,0.732,NA,NA,"The objective of this study was to examine the prevalence of Hepatitis E virus (HEV) in the Danish pig population. Faecal samples from 97 pigs, 1–5 months of age were analysed for HEV RNA by a new PriProET real time RT-PCR assay. In addition, serum samples from 71 sow herds were screened for the presence of anti-HEV IgG antibodies by ELISA.","Breum et al., 2010","https://doi.org/10.1016/j.vetmic.2010.05.002","AA"
"108","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Spain","IgG","1998-2000",0.419,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"109","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Spain","IgM","1998-2000",0.288,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"110","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Spain",NA,"1985-1997",0.484,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"111","Within herd prevalence","Hepatitis E","Pig",NA,NA,"sows","Denmark",NA,"2007-2008",0.732,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"112","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"France",NA,"2008-2009",0.31,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"113","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Italy",NA,"2008",0.502,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"114","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Italy",NA,"2008",0.87,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"115","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Spain",NA,NA,0.204,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"116","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Germany","IgG","2009-2010",0.686,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"117","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Germany","IgM","2009-2010",0.07,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"118","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Germany","meat juice","2009-2010",0.676,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"119","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Croatia",NA,NA,0.917,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"120","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Belgium",NA,"2010-2011",0.73,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"121","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Switzerland",NA,"2006 and 2011",0.581,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"122","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Estonia",NA,NA,0.616,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"123","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Scotland","IgG","2006",0.29,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"124","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Scotland","IgA","2006",0.369,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"125","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Scotland","IgM","2006",0.29,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"126","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Scotland","All","2006",0.614,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"127","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"U.K.",NA,"2013",0.928,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"128","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Italy",NA,"2014",0.8,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"129","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Ireland",NA,"2010-2011",0.27,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"130","Within herd prevalence","Hepatitis E","Pig",NA,NA,NA,"Norway",NA,"1994, 2009, 2010, 2013",0.73,NA,NA,"From the epidemiology of hepatitis E virus (HEV) within the swine reservoir to public health risk mitigation strategies: a comprehensive review","Salines et al., 2017","https://doi.org/10.1186%2Fs13567-017-0436-3","AA"
"131","Within herd prevalence","Infectious Bovine Rhinotracheitis","Cattle","Dairy",NA,NA,NA,"Seroprevalence","2019-2020",0.23,0.21,0.25,"Bulk tank milk (BTM) samples and 10 heifer serum samples were collected from 120 Estonian dairy herds with at least 100 cows, between August 2019 and July 2020. All samples were tested for antibodies against bovine herpesvirus 1 (BHV-1), bovine viral diarrhoea virus (Bovine Viral Diarrhoea VirusV), bovine respiratory syncytial virus (BRSV), Mycoplasma bovis, Mycobacterium avium spp. paratuberculosis (MAP) and SalmonellaDublin using commercial ELISA.","Motus et al., 2021","https://doi.org/10.1016/j.prevetmed.2021.105389","AA"
"132","Within herd prevalence","PRRS","Pig",NA,NA,"weaned/growing",NA,"Survey of veterinarians - estimate from 515 veterinarians across 11 European countries","Jan-Mar 2014",0.68,NA,NA,"According to the interviewed practitioners, on average PRRS is present in 71 % of sows and in 68 % of weaned or growing pigs. While on average, clinical cases of the disease were estimated to occur in 17 % of sows and in 23 % of weaned or growing pigs. However, the incidence in sows in particular varied widely by country, from a high of 47 % reported from Italy to just 4 % for Russia","de Paz et al., 2014","https://www.prrs.com/expertise/publications/esphm-2015/prrs-prevalence-europe-perception-pig-veterinary-practitioners","AA"
"133","Within herd prevalence","PRRS","Pig",NA,NA,"sows",NA,"Survey of veterinarians - estimate from 515 veterinarians across 11 European countries","Jan-Mar 2014",0.71,NA,NA,"According to the interviewed practitioners, on average PRRS is present in 71 % of sows and in 68 % of weaned or growing pigs. While on average, clinical cases of the disease were estimated to occur in 17 % of sows and in 23 % of weaned or growing pigs. However, the incidence in sows in particular varied widely by country, from a high of 47 % reported from Italy to just 4 % for Russia","de Paz et al., 2014","https://www.prrs.com/expertise/publications/esphm-2015/prrs-prevalence-europe-perception-pig-veterinary-practitioners","AA"
"134","Within herd prevalence","PRRS","Pig",NA,NA,"4 weeks",NA,"Survey","2016",0.633,NA,NA,NA,"Fablet et al., 2016","https://doi.org/10.1016/j.vetmic.2016.06.006","AA"
"135","Within herd prevalence","PRRS","Pig",NA,NA,"10 weeks",NA,"Survey","2016",0.303,NA,NA,NA,"Fablet et al., 2016","https://doi.org/10.1016/j.vetmic.2016.06.006","AA"
"136","Within herd prevalence","PRRS","Pig",NA,NA,"16 weeks",NA,"Survey","2016",0.404,NA,NA,NA,"Fablet et al., 2016","https://doi.org/10.1016/j.vetmic.2016.06.006","AA"
"137","Within herd prevalence","PRRS","Pig",NA,NA,">22 weeks",NA,"Survey","2016",0.541,NA,NA,NA,"Fablet et al., 2016","https://doi.org/10.1016/j.vetmic.2016.06.006","AA"
"138","Within herd prevalence","PRRS","Pig",NA,NA,"Sows",NA,"Seroprevalence",NA,0.05,NA,NA,"Seroprevalence","Fiers et al., 2022","https://doi.org/10.3390/v14091944","AA"
"139","Within herd prevalence","PRRS","Pig",NA,NA,"Sows",NA,"Seroprevalence",NA,0.2,NA,NA,"Seroprevalence","Fiers et al., 2022","https://doi.org/10.3390/v14091944","AA"
"140","Within herd prevalence","PRRS","Pig",NA,NA,"Sows",NA,"Seroprevalence",NA,0.05,NA,NA,"Seroprevalence","Fiers et al., 2022","https://doi.org/10.3390/v14091944","AA"
"141","Within herd prevalence","PRRS","Pig",NA,NA,"Sows",NA,"Seroprevalence",NA,0.3,NA,NA,"Seroprevalence","Fiers et al., 2022","https://doi.org/10.3390/v14091944","AA"
"142",NA,"Paratuberculosis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Calves","Spring","Seroprevalence","2000-2002",0.33,0.27,0.39,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"144","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Calves","Summer","Seroprevalence","2000-2002",0.19,0.12,0.26,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"145","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Calves","Autumn","Seroprevalence","2000-2002",0.24,0.18,0.31,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"146","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Calves","Winter","Seroprevalence","2000-2002",0.37,0.33,0.44,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"147","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Young stock","Spring","Seroprevalence","2000-2002",0.25,0.22,0.28,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"148","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Young stock","Summer","Seroprevalence","2000-2002",0.26,0.2,0.31,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"149","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Young stock","Autumn","Seroprevalence","2000-2002",0.3,0.26,0.34,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"150","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Young stock","Winter","Seroprevalence","2000-2002",0.27,0.24,0.3,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"151","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Cows","Spring","Seroprevalence","2000-2002",0.33,0.31,0.35,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"152","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Cows","Summer","Seroprevalence","2000-2002",0.32,0.29,0.35,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"153","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Cows","Autumn","Seroprevalence","2000-2002",0.26,0.24,0.29,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"154","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Cows","Winter","Seroprevalence","2000-2002",0.34,0.32,0.37,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"155","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Calves","Spring","Faecal Culture","2000-2002",0.011,0,0.023,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"156","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Calves","Summer","Faecal Culture","2000-2002",0.023,0,0.048,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"157","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Calves","Autumn","Faecal Culture","2000-2002",0.011,0,0.027,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"158","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Calves","Winter","Faecal Culture","2000-2002",0.054,0.021,0.087,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
