"","Parameter","Test Type","Pathogen","Host","Host type","Host breed","Host Age (group)","Host other characterics","study","Type of sample","Value","Lower confidence/credible level","Upper confidence / credible level","Remarks","Reference","doi","Filled in by:"
"282","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","+ blaTEM-106","Experimental","Cultured Samples",0.87,0.75,0.95,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"283","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","+ blaTEM-1A","Experimental","Cultured Samples",0.94,0.84,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"284","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","blaTEM-1A","Experimental","Cultured Samples",0.27,0.08,0.55,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"285","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","+ blaTEM-106","Experimental","Cultured Samples",0.33,0.12,0.62,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"286","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","+ ampC prom PM","Experimental","Cultured Samples",0.47,0.21,0.73,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"287","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","blaTEM-1A","Experimental","Cultured Samples",0.25,0.03,0.65,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"288","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","+ blaTEM-106","Experimental","Cultured Samples",0.38,0.09,0.76,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"289","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","+ ampC prom PM","Experimental","Cultured Samples",0.5,0.16,0.84,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"290","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"cefalexin","cefalexin","Experimental","Cultured Samples",1,0.16,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"291","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"colistin","mcr1.1","Experimental","Cultured Samples",0.5,0.16,0.84,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"292","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"colistin","+ mcr2.1","Experimental","Cultured Samples",1,0.63,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"293","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"colistin","+ mcr5.1","Experimental","Cultured Samples",1,0.63,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"294","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"apramycin","aac3IV","Experimental","Cultured Samples",0.2,0.1,0.72,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"295","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"apramycin","+ aac3IVa","Experimental","Cultured Samples",1,0.48,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"296","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","aac3IV","Experimental","Cultured Samples",0.11,0,0.48,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"297","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","+ aac3IVa","Experimental","Cultured Samples",0.56,0.21,0.86,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"298","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","+ aac3IId","Experimental","Cultured Samples",0.09,0.3,0.93,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"299","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","aac3IV","Experimental","Cultured Samples",0.12,0,0.53,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"300","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","+ aac3IVa","Experimental","Cultured Samples",0.62,0.24,0.91,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"301","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"gentamicin","+ aac3IId","Experimental","Cultured Samples",0.67,0.3,0.93,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"302","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"kanamycin-paromomycin","aph3Ia","Experimental","Cultured Samples",1,0.4,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"303","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","aad1","Experimental","Cultured Samples",0.08,0.36,0.36,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"304","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad10","Experimental","Cultured Samples",0.15,0.02,0.45,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"305","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad12","Experimental","Cultured Samples",0.23,0.05,0.54,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"306","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad2","Experimental","Cultured Samples",0.38,0.14,0.68,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"307","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","aad1","Experimental","Cultured Samples",0.06,0,0.27,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"308","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad10","Experimental","Cultured Samples",0.11,0.01,0.35,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"309","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad12","Experimental","Cultured Samples",0.17,0.04,0.41,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"310","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad2","Experimental","Cultured Samples",0.5,0.25,0.75,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"311","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"florfenicol","floR","Experimental","Cultured Samples",0.62,0.24,0.91,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"312","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"florfenicol","floR","Experimental","Cultured Samples",0.83,0.36,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"313","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"doxycycline","tet(A)","Experimental","Cultured Samples",0.46,0.31,0.63,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"314","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"doxycycline","+ tet(B)","Experimental","Cultured Samples",0.97,0.86,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"315","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"tetracycline","tet(A)","Experimental","Cultured Samples",0.47,0.31,0.62,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"316","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"tetracycline","+ tet(B)","Experimental","Cultured Samples",0.84,0.7,0.93,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"317","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"tetracycline","tet(A)","Experimental","Cultured Samples",0.48,0.32,0.64,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"318","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"tetracycline","+ tet(B)","Experimental","Cultured Samples",0.86,0.72,0.95,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"319","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"enrofloxacin","ParC PM","Experimental","Cultured Samples",0.22,0.06,0.48,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"320","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"enrofloxacin","+ GyrA PM","Experimental","Cultured Samples",0.5,0.26,0.74,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"321","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"enrofloxacin","+ qnrS1","Experimental","Cultured Samples",0.78,0.52,0.94,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"322","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"enrofloxacin","ParC PM","Experimental","Cultured Samples",0.24,0.07,0.5,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"323","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"enrofloxacin","+ GyrA PM","Experimental","Cultured Samples",0.53,0.28,0.77,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"324","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"enrofloxacin","+ qnrS1","Experimental","Cultured Samples",0.76,0.5,0.94,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"325","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"flumequine","ParC PM","Experimental","Cultured Samples",0.24,0.07,0.5,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"326","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"flumequine","+ GyrA PM","Experimental","Cultured Samples",0.53,0.28,0.77,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"327","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"flumequine","+ qnrS1","Experimental","Cultured Samples",0.82,0.57,0.96,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"328","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"flumequine","ParC PM","Experimental","Cultured Samples",0.36,0.11,0.69,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"329","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"flumequine","+ GyrA PM","Experimental","Cultured Samples",0.64,0.35,0.87,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"330","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"flumequine","+ qnrS1","Experimental","Cultured Samples",0.93,0.66,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"331","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"marbofloxacin","qnrS1","Experimental","Cultured Samples",0.25,0.09,0.49,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"332","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"marbofloxacin","+ qnrS1 Mut","Experimental","Cultured Samples",0.2,0.06,0.44,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"333","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"marbofloxacin","qnrS1","Experimental","Cultured Samples",0.8,0.28,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"334","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"marbofloxacin","+ qnrS1 Mut","Experimental","Cultured Samples",0.8,0.28,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"335","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","dfra1-10","Experimental","Cultured Samples",0.44,0.28,0.6,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"336","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra1-8","Experimental","Cultured Samples",0.6,0.44,0.75,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"337","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra5","Experimental","Cultured Samples",0.63,0.47,0.77,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"338","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra12","Experimental","Cultured Samples",0.77,0.62,0.89,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"339","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra14","Experimental","Cultured Samples",0.8,0.65,0.9,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"340","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra36","Experimental","Cultured Samples",0.82,0.68,0.92,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"341","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","dfra1-10","Experimental","Cultured Samples",0.4,0.25,0.57,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"342","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra1-8","Experimental","Cultured Samples",0.62,0.46,0.76,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"343","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra5","Experimental","Cultured Samples",0.63,0.47,0.78,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"344","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra12","Experimental","Cultured Samples",0.82,0.67,0.93,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"345","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra14","Experimental","Cultured Samples",0.83,0.68,0.93,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"346","Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra36","Experimental","Cultured Samples",0.85,0.71,0.94,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"347","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","blaTEM1-B","Experimental","Cultured Samples",0.95,0.82,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"348","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","+ blaCTXM-1","Experimental","Cultured Samples",0.95,0.82,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"349","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","+ blaTEM-106","Experimental","Cultured Samples",0.95,0.82,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"350","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","+ blaTEM-1A","Experimental","Cultured Samples",0.95,0.83,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"351","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","blaTEM1-B","Experimental","Cultured Samples",0.95,0.83,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"352","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","+ blaCTXM-1","Experimental","Cultured Samples",0.95,0.83,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
"353","Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","+ blaTEM-106","Experimental","Cultured Samples",0.95,0.83,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","Vereecke et al., 2023","https://doi.org/10.3389/fmicb.2023.1139312","AA"
