"parameter","if_other","unit","model_type","model_mixing","model_scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","vaccine_seeder","vaccine_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref","ref_status","ref_last_access","ref_short","year","filled_by","filled_date","value_original","parameter_type","id"
"Basic reproduction number",NA,NA,"SI",NA,NA,"Experimental Stable","E. coli","VTEC O157","Cattle",NA,"Holstein Friesian","Calf",NA,NA,NA,NA,7.3,3.92,11.5,NA,NA,NA,"10.1017/s0950268808000320","doi_invalid",2026-06-25,"SCHOUTEN et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,7.3,"Transmission","Transmission*605"
"Basic reproduction number",NA,NA,"SI",NA,NA,"Experimental Stable","E. coli","VTEC O157","Cattle",NA,"Holstein Friesian","Adult","Dairy cow",NA,NA,NA,0.7,0.48,1.04,NA,NA,NA,"10.1017/s0950268808000320","doi_invalid",2026-06-25,"SCHOUTEN et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.7,"Transmission","Transmission*606"
"Basic reproduction number",NA,NA,"SI",NA,NA,"Experimental Stable","E. coli","VTEC O158","Cattle",NA,"Holstein Friesian",NA,"Group 1",NA,NA,NA,10.3,5.04,21.9,NA,NA,NA,"10.1017/s0950268808000320","doi_invalid",2026-06-25,"SCHOUTEN et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,10.3,"Transmission","Transmission*607"
"Basic reproduction number",NA,NA,"SI",NA,NA,"Experimental Stable","E. coli","VTEC O159","Cattle",NA,"Holstein Friesian",NA,"Group 2",NA,NA,NA,6.4,3.64,10.9,NA,NA,NA,"10.1017/s0950268808000320","doi_invalid",2026-06-25,"SCHOUTEN et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,6.4,"Transmission","Transmission*608"
"Basic reproduction number",NA,NA,"SI",NA,NA,"Experimental Stable","E. coli","VTEC O160","Cattle",NA,"Holstein Friesian",NA,"All",NA,NA,NA,7.3,3.92,11.5,NA,NA,NA,"10.1017/s0950268808000320","doi_invalid",2026-06-25,"SCHOUTEN et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,7.3,"Transmission","Transmission*609"
"Basic reproduction number",NA,NA,"SI",NA,NA,"Experimental Field","E. coli","VTEC O161","Cattle",NA,"Holstein Friesian",NA,"Shedding season 1 (1999)",NA,NA,NA,0.62,0.48,1.62,NA,NA,NA,"10.1017/s0950268808000320","doi_invalid",2026-06-25,"SCHOUTEN et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.62,"Transmission","Transmission*610"
"Basic reproduction number",NA,NA,"SI",NA,NA,"Experimental Field","E. coli","VTEC O162","Cattle",NA,"Holstein Friesian",NA,"Shedding season 2 (2000)",NA,NA,NA,0.87,0.48,1.04,NA,NA,NA,"10.1017/s0950268808000320","doi_invalid",2026-06-25,"SCHOUTEN et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.87,"Transmission","Transmission*611"
"Basic reproduction number",NA,NA,"SI",NA,NA,"Experimental Field","E. coli","VTEC O163","Cattle",NA,"Holstein Friesian",NA,"Total study duration",NA,NA,NA,0.7,0.48,1.04,NA,NA,NA,"10.1017/s0950268808000320","doi_invalid",2026-06-25,"SCHOUTEN et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.7,"Transmission","Transmission*612"
"Basic reproduction number",NA,NA,"SI",NA,NA,"Experimental Field","E. coli","VTEC O164","Cattle",NA,"Holstein Friesian",NA,"Total study duration (infectivity remains during non shedding season)",NA,NA,NA,0.71,0.53,0.99,NA,NA,NA,"10.1017/s0950268808000320","doi_invalid",2026-06-25,"SCHOUTEN et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.71,"Transmission","Transmission*613"
"Transmission parameter",NA,NA,"SI",NA,NA,"Experimental Stable","E. coli","VTEC O158","Cattle",NA,"Holstein Friesian",NA,"Group 1",NA,NA,NA,0.37,0.18,0.78,NA,NA,NA,"10.1017/s0950268808000320","doi_invalid",2026-06-25,"SCHOUTEN et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.37,"Transmission","Transmission*614"
"Transmission parameter",NA,NA,"SI",NA,NA,"Experimental Stable","E. coli","VTEC O159","Cattle",NA,"Holstein Friesian",NA,"Group 2",NA,NA,NA,0.23,0.13,0.39,NA,NA,NA,"10.1017/s0950268808000320","doi_invalid",2026-06-25,"SCHOUTEN et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.23,"Transmission","Transmission*615"
"Transmission parameter",NA,NA,"SI",NA,NA,"Experimental Stable","E. coli","VTEC O160","Cattle",NA,"Holstein Friesian",NA,"All",NA,NA,NA,0.26,0.14,0.41,NA,NA,NA,"10.1017/s0950268808000320","doi_invalid",2026-06-25,"SCHOUTEN et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.26,"Transmission","Transmission*616"
"Transmission parameter",NA,NA,"SI",NA,NA,"Experimental Field","E. coli","VTEC O161","Cattle",NA,"Holstein Friesian",NA,"Shedding season 1 (1999)",NA,NA,NA,0.022,0.017,0.058,NA,NA,NA,"10.1017/s0950268808000320","doi_invalid",2026-06-25,"SCHOUTEN et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.022,"Transmission","Transmission*617"
"Transmission parameter",NA,NA,"SI",NA,NA,"Experimental Field","E. coli","VTEC O162","Cattle",NA,"Holstein Friesian",NA,"Shedding season 2 (2000)",NA,NA,NA,0.031,0.017,0.037,NA,NA,NA,"10.1017/s0950268808000320","doi_invalid",2026-06-25,"SCHOUTEN et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.031,"Transmission","Transmission*618"
"Transmission parameter",NA,NA,"SI",NA,NA,"Experimental Field","E. coli","VTEC O163","Cattle",NA,"Holstein Friesian",NA,"Total study duration",NA,NA,NA,0.025,0.017,0.037,NA,NA,NA,"10.1017/s0950268808000320","doi_invalid",2026-06-25,"SCHOUTEN et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.025,"Transmission","Transmission*619"
"Transmission parameter",NA,NA,"SI",NA,NA,"Experimental Field","E. coli","VTEC O164","Cattle",NA,"Holstein Friesian",NA,"Total study duration (infectivity remains during non shedding season)",NA,NA,NA,0.026,0.019,0.035,NA,NA,NA,"10.1017/s0950268808000320","doi_invalid",2026-06-25,"SCHOUTEN et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.026,"Transmission","Transmission*620"
"Basic reproduction number",NA,NA,"Markov Chain",NA,NA,"Experimental Field","E. coli","O103","Cattle",NA,NA,"Multiple","Feed lots in North Texas",NA,NA,NA,0.8,NA,NA,NA,NA,NA,"10.1128/aem.00815-16","doi_invalid",2026-06-25,"Chen et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,0.8,"Transmission","Transmission*621"
"Basic reproduction number",NA,NA,"Markov Chain",NA,NA,"Experimental Field","E. coli","O157","Cattle",NA,NA,"Multiple","Feed lots in North Texas",NA,NA,NA,1.9,NA,NA,NA,NA,NA,"10.1128/aem.00815-16","doi_invalid",2026-06-25,"Chen et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,1.9,"Transmission","Transmission*622"
"Basic reproduction number",NA,NA,"Markov Chain",NA,NA,"Experimental Field","E. coli","O157","Cattle",NA,NA,"Multiple","Feed lots in North Texas",NA,NA,NA,1.3,NA,NA,NA,NA,NA,"10.1128/aem.00815-16","doi_invalid",2026-06-25,"Chen et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,1.3,"Transmission","Transmission*623"
"Basic reproduction number",NA,NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O103","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.13,NA,NA,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.13,"Transmission","Transmission*624"
"Basic reproduction number",NA,NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.25,NA,NA,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.25,"Transmission","Transmission*625"
"Basic reproduction number",NA,NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O103","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,1.03,NA,NA,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,1.03,"Transmission","Transmission*626"
"Basic reproduction number",NA,NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.04,NA,NA,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.04,"Transmission","Transmission*627"
"Basic reproduction number",NA,NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,39,NA,NA,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,39,"Transmission","Transmission*628"
"Basic reproduction number",NA,NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.45,NA,NA,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.45,"Transmission","Transmission*629"
"Transmission parameter",NA,NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O103","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.001,0,0.008,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.001,"Transmission","Transmission*630"
"Transmission parameter",NA,NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.002,0,0.006,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.002,"Transmission","Transmission*631"
"Transmission parameter",NA,NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O103","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.005,0.002,0.009,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.005,"Transmission","Transmission*632"
"Transmission parameter",NA,NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,2e-04,0,0.003,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,2e-04,"Transmission","Transmission*633"
"Transmission parameter",NA,NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.002,0,0.005,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.002,"Transmission","Transmission*634"
"Other","environmental transmission parameter (q)",NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O103","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.017,0.009,0.035,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.017,"Transmission","Transmission*635"
"Other","environmental transmission parameter (q)",NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.076,0.055,0.11,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.076,"Transmission","Transmission*636"
"Other","environmental transmission parameter (q)",NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O103","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.002,1e-04,0.009,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.002,"Transmission","Transmission*637"
"Other","environmental transmission parameter (q)",NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.061,0.043,0.1,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.061,"Transmission","Transmission*638"
"Other","environmental transmission parameter (q)",NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.125,0.085,0.2,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.125,"Transmission","Transmission*639"
"Other","environmental transmission parameter (q)",NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.12,0.07,0.2,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.12,"Transmission","Transmission*640"
"Other","Probability of consecutive infection due to persistence",NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O103","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.75,0.2,1,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.75,"Transmission","Transmission*641"
"Other","Probability of consecutive infection due to persistence",NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.39,0.17,0.6,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.39,"Transmission","Transmission*642"
"Other","Probability of consecutive infection due to persistence",NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O103","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.85,0.57,1,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.85,"Transmission","Transmission*643"
"Other","Probability of consecutive infection due to persistence",NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.68,0.56,0.8,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.68,"Transmission","Transmission*644"
"Other","Probability of consecutive infection due to persistence",NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC O26","Cattle",NA,NA,"Calves","Scottish Beef Farms",NA,NA,NA,0.49,0.4,0.58,NA,NA,NA,"10.1017/s0950268806007722","doi_invalid",2026-06-25,"LIU et al., 2007",2007,"Alistair Antonopoulos",2025-08-28,0.49,"Transmission","Transmission*645"
"Transmission parameter",NA,NA,"SIS",NA,NA,"Experimental Field","E. coli","VTEC (O:2; 15; 20; 26; 84; 103; 113; 128ab; 162; 168. E: 40874; 54071)","Cattle","Beef",NA,"Calves","Scottish Beef Farm",NA,NA,NA,0.004,0.002,0.009,NA,NA,NA,"10.1017/s0950268804003644","doi_invalid",2026-06-25,"LIU et al., 2005",2005,"Alistair Antonopoulos",2025-08-28,0.004,"Transmission","Transmission*646"
"Other","external transmission coefficent","θ","SIS",NA,NA,"Experimental Field","E. coli","VTEC (O:2; 15; 20; 26; 84; 103; 113; 128ab; 162; 168. E: 40874; 54071)","Cattle","Beef",NA,"Calves","Scottish Beef Farm",NA,NA,NA,0.001,5e-04,0.00325,NA,NA,NA,"10.1017/s0950268804003644","doi_invalid",2026-06-25,"LIU et al., 2005",2005,"Alistair Antonopoulos",2025-08-28,0.001,"Transmission","Transmission*647"
"Other","single infection","%","SIS",NA,NA,"Experimental Field","E. coli","VTEC (O:2; 15; 20; 26; 84; 103; 113; 128ab; 162; 168. E: 40874; 54071)","Cattle","Beef",NA,NA,NA,NA,NA,NA,0.76,0.63,0.93,NA,NA,NA,"10.1017/s0950268804003644","doi_invalid",2026-06-25,"LIU et al., 2005",2005,"Alistair Antonopoulos",2025-08-28,0.76,"Transmission","Transmission*648"
"Other","double infection","%","SIS",NA,NA,"Experimental Field","E. coli","VTEC (O:2; 15; 20; 26; 84; 103; 113; 128ab; 162; 168. E: 40874; 54071)","Cattle","Beef",NA,"Calves","Scottish Beef Farm",NA,NA,NA,0.189,0.05,0.31,NA,NA,NA,"10.1017/s0950268804003644","doi_invalid",2026-06-25,"LIU et al., 2005",2005,"Alistair Antonopoulos",2025-08-28,0.189,"Transmission","Transmission*649"
"Transmission parameter",NA,NA,NA,NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.0244,NA,NA,NA,NA,NA,"10.1016/j.jtbi.2006.01.020","doi_invalid",2026-06-25,"Turner et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.0244,"Transmission","Transmission*650"
"Transmission parameter",NA,NA,NA,NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.001269,NA,NA,NA,NA,NA,"10.1016/j.jtbi.2006.01.020","doi_invalid",2026-06-25,"Turner et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.001269,"Transmission","Transmission*651"
"Transmission parameter",NA,NA,NA,NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.00325,NA,NA,NA,NA,NA,"10.1016/j.jtbi.2006.01.020","doi_invalid",2026-06-25,"Turner et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.00325,"Transmission","Transmission*652"
"Transmission parameter",NA,NA,NA,NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,9e-04,NA,NA,NA,NA,NA,"10.1016/j.jtbi.2006.01.020","doi_invalid",2026-06-25,"Turner et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,9e-04,"Transmission","Transmission*653"
"Probability of transmission via indirect contact",NA,"z	Group-specific indirect transmission parameter (per animal per day)",NA,NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,1.904e-10,NA,NA,NA,NA,NA,"10.1016/j.jtbi.2006.01.020","doi_invalid",2026-06-25,"Turner et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,1.904e-10,"Transmission","Transmission*654"
"Probability of transmission via indirect contact",NA,"z	Group-specific indirect transmission parameter (per animal per day)",NA,NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,4.18e-12,NA,NA,NA,NA,NA,"10.1016/j.jtbi.2006.01.020","doi_invalid",2026-06-25,"Turner et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,4.18e-12,"Transmission","Transmission*655"
"Probability of transmission via indirect contact",NA,"z	Group-specific indirect transmission parameter (per animal per day)",NA,NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,1.475e-08,NA,NA,NA,NA,NA,"10.1016/j.jtbi.2006.01.020","doi_invalid",2026-06-25,"Turner et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,1.475e-08,"Transmission","Transmission*656"
"Probability of transmission via indirect contact",NA,"z	Group-specific indirect transmission parameter (per animal per day)",NA,NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,1.325e-08,NA,NA,NA,NA,NA,"10.1016/j.jtbi.2006.01.020","doi_invalid",2026-06-25,"Turner et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,1.325e-08,"Transmission","Transmission*657"
"Probability of transmission via indirect contact",NA,"s	“General” indirect transmission parameter (per animal per day)",NA,NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,"10.1016/j.jtbi.2006.01.020","doi_invalid",2026-06-25,"Turner et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.01,"Transmission","Transmission*658"
"Probability of transmission via indirect contact",NA,"s	“General” indirect transmission parameter (per animal per day)",NA,NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.005,NA,NA,NA,NA,NA,"10.1016/j.jtbi.2006.01.020","doi_invalid",2026-06-25,"Turner et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.005,"Transmission","Transmission*659"
"Probability of transmission via indirect contact",NA,"s	“General” indirect transmission parameter (per animal per day)",NA,NA,NA,"Other","E. coli","O157","Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,"10.1016/j.jtbi.2006.01.020","doi_invalid",2026-06-25,"Turner et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.02,"Transmission","Transmission*660"
"Transmission parameter",NA,NA,NA,NA,NA,"Other","E. coli",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,0.62,0.19,2.06,NA,NA,NA,"10.1017/s0950268804002675","doi_invalid",2026-06-25,"GEENEN et al., 2004",2004,"Alistair Antonopoulos",2025-08-28,0.62,"Transmission","Transmission*661"
"Transmission parameter",NA,NA,NA,NA,NA,"Other","E. coli",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,0,0,1.98,NA,NA,NA,"10.1017/s0950268804002675","doi_invalid",2026-06-25,"GEENEN et al., 2004",2004,"Alistair Antonopoulos",2025-08-28,0,"Transmission","Transmission*662"
"Transmission parameter",NA,NA,NA,NA,NA,"Other","E. coli",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,0.16,0.03,0.75,NA,NA,NA,"10.1017/s0950268804002675","doi_invalid",2026-06-25,"GEENEN et al., 2004",2004,"Alistair Antonopoulos",2025-08-28,0.16,"Transmission","Transmission*663"
"Transmission parameter",NA,NA,NA,NA,NA,"Other","E. coli",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,0.58,0.19,1.75,NA,NA,NA,"10.1017/s0950268804002675","doi_invalid",2026-06-25,"GEENEN et al., 2004",2004,"Alistair Antonopoulos",2025-08-28,0.58,"Transmission","Transmission*664"
"Transmission parameter",NA,NA,NA,NA,NA,"Other","E. coli",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,0.15,0.03,0.66,NA,NA,NA,"10.1017/s0950268804002675","doi_invalid",2026-06-25,"GEENEN et al., 2004",2004,"Alistair Antonopoulos",2025-08-28,0.15,"Transmission","Transmission*665"
"Transmission parameter","Equal transmission parameters (βL) for all shedding pigs with bacterial counts above the threshold value (5*103 CFU/g).","βL","SIR",NA,NA,"Experimental Stable","E. coli","ciprofloxacin resistant","Pigs","SPF","Large White","7 weeks (at start of experiment)",NA,NA,NA,NA,0.55,0.4,0.74,NA,NA,NA,"10.1186/1297-9716-42-44","doi_invalid",2026-06-25,"Andraud et al., 2011",2011,"Alistair Antonopoulos",2025-08-28,0.55,"Transmission","Transmission*666"
"Transmission parameter","Equal transmission parameters (βL) for all shedding pigs with bacterial counts above the threshold value (5*103 CFU/g).","βL","SIR",NA,NA,"Experimental Stable","E. coli","ciprofloxacin resistant","Pigs","SPF","Large White","7 weeks (at start of experiment)",NA,NA,NA,NA,0.41,0.27,0.62,NA,NA,NA,"10.1186/1297-9716-42-44","doi_invalid",2026-06-25,"Andraud et al., 2011",2011,"Alistair Antonopoulos",2025-08-28,0.41,"Transmission","Transmission*667"
"Transmission parameter","Equal transmission parameters (βL) for all shedding pigs with bacterial counts above the threshold value (5*103 CFU/g).","βL","SIR",NA,NA,"Experimental Stable","E. coli","ciprofloxacin resistant","Pigs","SPF","Large White","7 weeks (at start of experiment)",NA,NA,NA,NA,0.41,0.23,0.71,NA,NA,NA,"10.1186/1297-9716-42-44","doi_invalid",2026-06-25,"Andraud et al., 2011",2011,"Alistair Antonopoulos",2025-08-28,0.41,"Transmission","Transmission*668"
"Transmission parameter","Two transmission parameters according to bacterial counts: βLfor low-shedders (bacterial counts between 5*103 and 106 CFU/g) and βHfor high-shedders (bacterial counts above 106 CFU/g).","βM","SIR",NA,NA,"Experimental Stable","E. coli","ciprofloxacin resistant","Pigs","SPF","Large White","7 weeks (at start of experiment)",NA,NA,NA,NA,0.42,0.15,1.19,NA,NA,NA,"10.1186/1297-9716-42-44","doi_invalid",2026-06-25,"Andraud et al., 2011",2011,"Alistair Antonopoulos",2025-08-28,0.42,"Transmission","Transmission*669"
"Transmission parameter","Three transmission parameters according to bacterial counts: βLfor low-shedders (bacterial counts between 5*103 and 105 CFU/g), βMfor moderate-shedders (bacterial counts between 105 and 106 CFU/g), and βHfor high-shedders (bacterial counts above 106 CFU/g).","βH","SIR",NA,NA,"Experimental Stable","E. coli","ciprofloxacin resistant","Pigs","SPF","Large White","7 weeks (at start of experiment)",NA,NA,NA,NA,0.98,0.59,1.62,NA,NA,NA,"10.1186/1297-9716-42-44","doi_invalid",2026-06-25,"Andraud et al., 2011",2011,"Alistair Antonopoulos",2025-08-28,0.98,"Transmission","Transmission*670"
"Transmission parameter","all groups",NA,"SI",NA,NA,"Experimental Stable","E. coli","ESBL","Chicken","Broiler",NA,"Chick",NA,NA,NA,NA,NA,4.53,NA,NA,NA,"transmission experiments to examine the role of competitive exclusion (CE) on reducing transmission and excretion in broilers. A broiler model to study the transmission of ESC-resistant E. coli was set up. Day-old chickens were challenged with an ESBL-producing E. coli strain isolated from healthy broilers in the Netherlands. Challenged and not challenged chicks were housed together in pairs or in groups, and ESBL-producing E. coli transmission was monitored via selective culturing of cloacal swab specimens. We observed a statistically significant reduction in both the transmission and excretion of ESBL-producing E. coli in chicks treated with the probiotic flora before E. coli challenge compared to the transmission and excretion in untreated controls.","10.1128/aem.03439-16","doi_invalid",2026-06-25,"Ceccarelli et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,NA,"Transmission","Transmission*671"
"Transmission parameter","control",NA,"SI",NA,NA,"Experimental Stable","E. coli","ESBL","Chicken","Broiler",NA,"Chick",NA,NA,NA,NA,0.669,0.334,1.18,NA,NA,"transmission experiments to examine the role of competitive exclusion (CE) on reducing transmission and excretion in broilers. A broiler model to study the transmission of ESC-resistant E. coli was set up. Day-old chickens were challenged with an ESBL-producing E. coli strain isolated from healthy broilers in the Netherlands. Challenged and not challenged chicks were housed together in pairs or in groups, and ESBL-producing E. coli transmission was monitored via selective culturing of cloacal swab specimens. We observed a statistically significant reduction in both the transmission and excretion of ESBL-producing E. coli in chicks treated with the probiotic flora before E. coli challenge compared to the transmission and excretion in untreated controls.","10.1128/aem.03439-16","doi_invalid",2026-06-25,"Ceccarelli et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,0.669,"Transmission","Transmission*672"
