"parameter","test_type","pathogen","host","host_type","host_breed","host_age","host_other","study_type","sample_type","value","lower_cl","upper_cl","remarks","ref","ref_status","ref_last_access","ref_short","year","filled_by","filled_date","value_original","parameter_type","id"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad10","Experimental","Cultured Samples",0.15,0.02,0.45,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.15,"DiagnosticTest","DiagnosticTest*304"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad12","Experimental","Cultured Samples",0.23,0.05,0.54,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.23,"DiagnosticTest","DiagnosticTest*305"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad2","Experimental","Cultured Samples",0.38,0.14,0.68,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.38,"DiagnosticTest","DiagnosticTest*306"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","aad1","Experimental","Cultured Samples",0.06,0,0.27,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.06,"DiagnosticTest","DiagnosticTest*307"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad10","Experimental","Cultured Samples",0.11,0.01,0.35,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.11,"DiagnosticTest","DiagnosticTest*308"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad12","Experimental","Cultured Samples",0.17,0.04,0.41,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.17,"DiagnosticTest","DiagnosticTest*309"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"spectinomycin","+ aad2","Experimental","Cultured Samples",0.5,0.25,0.75,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.5,"DiagnosticTest","DiagnosticTest*310"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"florfenicol","floR","Experimental","Cultured Samples",0.62,0.24,0.91,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.62,"DiagnosticTest","DiagnosticTest*311"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"florfenicol","floR","Experimental","Cultured Samples",0.83,0.36,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.83,"DiagnosticTest","DiagnosticTest*312"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"doxycycline","tet(A)","Experimental","Cultured Samples",0.46,0.31,0.63,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.46,"DiagnosticTest","DiagnosticTest*313"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"doxycycline","+ tet(B)","Experimental","Cultured Samples",0.97,0.86,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.97,"DiagnosticTest","DiagnosticTest*314"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"tetracycline","tet(A)","Experimental","Cultured Samples",0.47,0.31,0.62,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.47,"DiagnosticTest","DiagnosticTest*315"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"tetracycline","+ tet(B)","Experimental","Cultured Samples",0.84,0.7,0.93,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.84,"DiagnosticTest","DiagnosticTest*316"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"tetracycline","tet(A)","Experimental","Cultured Samples",0.48,0.32,0.64,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.48,"DiagnosticTest","DiagnosticTest*317"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"tetracycline","+ tet(B)","Experimental","Cultured Samples",0.86,0.72,0.95,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.86,"DiagnosticTest","DiagnosticTest*318"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"enrofloxacin","ParC PM","Experimental","Cultured Samples",0.22,0.06,0.48,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.22,"DiagnosticTest","DiagnosticTest*319"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"enrofloxacin","+ GyrA PM","Experimental","Cultured Samples",0.5,0.26,0.74,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.5,"DiagnosticTest","DiagnosticTest*320"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"enrofloxacin","+ qnrS1","Experimental","Cultured Samples",0.78,0.52,0.94,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.78,"DiagnosticTest","DiagnosticTest*321"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"enrofloxacin","ParC PM","Experimental","Cultured Samples",0.24,0.07,0.5,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.24,"DiagnosticTest","DiagnosticTest*322"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"enrofloxacin","+ GyrA PM","Experimental","Cultured Samples",0.53,0.28,0.77,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.53,"DiagnosticTest","DiagnosticTest*323"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"enrofloxacin","+ qnrS1","Experimental","Cultured Samples",0.76,0.5,0.94,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.76,"DiagnosticTest","DiagnosticTest*324"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"flumequine","ParC PM","Experimental","Cultured Samples",0.24,0.07,0.5,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.24,"DiagnosticTest","DiagnosticTest*325"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"flumequine","+ GyrA PM","Experimental","Cultured Samples",0.53,0.28,0.77,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.53,"DiagnosticTest","DiagnosticTest*326"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"flumequine","+ qnrS1","Experimental","Cultured Samples",0.82,0.57,0.96,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.82,"DiagnosticTest","DiagnosticTest*327"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"flumequine","ParC PM","Experimental","Cultured Samples",0.36,0.11,0.69,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.36,"DiagnosticTest","DiagnosticTest*328"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"flumequine","+ GyrA PM","Experimental","Cultured Samples",0.64,0.35,0.87,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.64,"DiagnosticTest","DiagnosticTest*329"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"flumequine","+ qnrS1","Experimental","Cultured Samples",0.93,0.66,1,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.93,"DiagnosticTest","DiagnosticTest*330"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"marbofloxacin","qnrS1","Experimental","Cultured Samples",0.25,0.09,0.49,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.25,"DiagnosticTest","DiagnosticTest*331"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"marbofloxacin","+ qnrS1 Mut","Experimental","Cultured Samples",0.2,0.06,0.44,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.2,"DiagnosticTest","DiagnosticTest*332"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"marbofloxacin","qnrS1","Experimental","Cultured Samples",0.8,0.28,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.8,"DiagnosticTest","DiagnosticTest*333"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"marbofloxacin","+ qnrS1 Mut","Experimental","Cultured Samples",0.8,0.28,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.8,"DiagnosticTest","DiagnosticTest*334"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","dfra1-10","Experimental","Cultured Samples",0.44,0.28,0.6,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.44,"DiagnosticTest","DiagnosticTest*335"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra1-8","Experimental","Cultured Samples",0.6,0.44,0.75,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.6,"DiagnosticTest","DiagnosticTest*336"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra5","Experimental","Cultured Samples",0.63,0.47,0.77,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.63,"DiagnosticTest","DiagnosticTest*337"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra12","Experimental","Cultured Samples",0.77,0.62,0.89,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.77,"DiagnosticTest","DiagnosticTest*338"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra14","Experimental","Cultured Samples",0.8,0.65,0.9,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.8,"DiagnosticTest","DiagnosticTest*339"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra36","Experimental","Cultured Samples",0.82,0.68,0.92,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.82,"DiagnosticTest","DiagnosticTest*340"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","dfra1-10","Experimental","Cultured Samples",0.4,0.25,0.57,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.4,"DiagnosticTest","DiagnosticTest*341"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra1-8","Experimental","Cultured Samples",0.62,0.46,0.76,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.62,"DiagnosticTest","DiagnosticTest*342"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra5","Experimental","Cultured Samples",0.63,0.47,0.78,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.63,"DiagnosticTest","DiagnosticTest*343"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra12","Experimental","Cultured Samples",0.82,0.67,0.93,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.82,"DiagnosticTest","DiagnosticTest*344"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra14","Experimental","Cultured Samples",0.83,0.68,0.93,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.83,"DiagnosticTest","DiagnosticTest*345"
"Sensitivity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"trimethoprim-sulfa","+ dfra36","Experimental","Cultured Samples",0.85,0.71,0.94,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.85,"DiagnosticTest","DiagnosticTest*346"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","blaTEM1-B","Experimental","Cultured Samples",0.95,0.82,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.95,"DiagnosticTest","DiagnosticTest*347"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","+ blaCTXM-1","Experimental","Cultured Samples",0.95,0.82,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.95,"DiagnosticTest","DiagnosticTest*348"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","+ blaTEM-106","Experimental","Cultured Samples",0.95,0.82,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.95,"DiagnosticTest","DiagnosticTest*349"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","+ blaTEM-1A","Experimental","Cultured Samples",0.95,0.83,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.95,"DiagnosticTest","DiagnosticTest*350"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","blaTEM1-B","Experimental","Cultured Samples",0.95,0.83,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.95,"DiagnosticTest","DiagnosticTest*351"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","+ blaCTXM-1","Experimental","Cultured Samples",0.95,0.83,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.95,"DiagnosticTest","DiagnosticTest*352"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","+ blaTEM-106","Experimental","Cultured Samples",0.95,0.83,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.95,"DiagnosticTest","DiagnosticTest*353"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin","+ blaTEM-1A","Experimental","Cultured Samples",0.95,0.83,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.95,"DiagnosticTest","DiagnosticTest*354"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","blaTEM-1A","Experimental","Cultured Samples",0.96,0.89,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.96,"DiagnosticTest","DiagnosticTest*355"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","+ blaTEM-106","Experimental","Cultured Samples",0.96,0.89,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.96,"DiagnosticTest","DiagnosticTest*356"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","+ ampC prom PM","Experimental","Cultured Samples",0.96,0.89,0.99,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.96,"DiagnosticTest","DiagnosticTest*357"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","blaTEM-1A","Experimental","Cultured Samples",0.94,0.87,0.98,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.94,"DiagnosticTest","DiagnosticTest*358"
"Specificity","Nanopore Sequencing","E. coli","Pigs",NA,NA,"amoxicillin-CA","+ blaTEM-106","Experimental","Cultured Samples",0.94,0.87,0.98,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","doi_invalid",2026-06-25,"Vereecke et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.94,"DiagnosticTest","DiagnosticTest*359"
