"parameter","if_other","unit","model_type","model_mixing","model_scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","vaccine_seeder","vaccine_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref","ref_short","year","filled_by","parameter_type","id","scale","inoculated_contact","material","test_type","sample_type","time_period","country","sampling_purpose","info_level","plan_implemented","plan_voluntary_compulsary","plan_coverage","country_disease_status","plan_type","last_updated"
"Specificity",NA,NA,NA,NA,NA,"Descriptive Review","Avian Influenza",NA,"Poultry",NA,NA,NA,NA,NA,NA,NA,0.63,0.489,0.999,NA,NA,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","Comin et al., 2012",2012,"AA","DiagnosticTest","DiagnosticTest_53",NA,NA,NA,"NP-ELISA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","Bluetongue",NA,"Ruminants",NA,NA,NA,NA,NA,NA,NA,0.985,NA,NA,NA,NA,"This paper aims to describe and analyse the results obtained with the diagnostics used in Belgium during the 2006 BT crisis. The diagnosis was based on a combination of antibody detection (competitive ELISA, cELISA) and viral RNA detection by real-time RT-PCR (RT-qPCR).","10.1016/j.vetmic.2007.10.029","Vandenbussche et al., 2008",2008,"AA","DiagnosticTest","DiagnosticTest_54",NA,NA,NA,"RT-PCR","Serum; blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","Bluetongue",NA,"Ruminants",NA,NA,NA,NA,NA,NA,NA,0.995,NA,NA,NA,NA,"This paper aims to describe and analyse the results obtained with the diagnostics used in Belgium during the 2006 BT crisis. The diagnosis was based on a combination of antibody detection (competitive ELISA, cELISA) and viral RNA detection by real-time RT-PCR (RT-qPCR).","10.1016/j.vetmic.2007.10.029","Vandenbussche et al., 2008",2008,"AA","DiagnosticTest","DiagnosticTest_55",NA,NA,NA,"RT-PCR","Serum; blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","Bluetongue",NA,"Ruminants",NA,NA,NA,NA,NA,NA,NA,0.982,NA,NA,NA,NA,"This paper aims to describe and analyse the results obtained with the diagnostics used in Belgium during the 2006 BT crisis. The diagnosis was based on a combination of antibody detection (competitive ELISA, cELISA) and viral RNA detection by real-time RT-PCR (RT-qPCR).","10.1016/j.vetmic.2007.10.029","Vandenbussche et al., 2008",2008,"AA","DiagnosticTest","DiagnosticTest_56",NA,NA,NA,"cELISA","Serum; blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","Bluetongue",NA,"Ruminants",NA,NA,NA,NA,NA,NA,NA,0.878,NA,NA,NA,NA,"This paper aims to describe and analyse the results obtained with the diagnostics used in Belgium during the 2006 BT crisis. The diagnosis was based on a combination of antibody detection (competitive ELISA, cELISA) and viral RNA detection by real-time RT-PCR (RT-qPCR).","10.1016/j.vetmic.2007.10.029","Vandenbussche et al., 2008",2008,"AA","DiagnosticTest","DiagnosticTest_57",NA,NA,NA,"cELISA","Serum; blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","Bluetongue",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.989,NA,NA,NA,NA,"During the bluetongue outbreak in the Netherlands in 2006, caused by BTV serotype 8, coupled serum and milk samples were obtained from 470 individual cows from 10 BTV-infected farms with an average seroprevalence of 57%. In addition, bulk milk samples of the same farms, and historically BT-negative samples were tested.","10.1016/j.vetmic.2008.01.004","Kramps et al., 2008",2008,"AA","DiagnosticTest","DiagnosticTest_58",NA,NA,NA,"ELISA","Serum; milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","Bluetongue",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.965,NA,NA,NA,NA,"During the bluetongue outbreak in the Netherlands in 2006, caused by BTV serotype 8, coupled serum and milk samples were obtained from 470 individual cows from 10 BTV-infected farms with an average seroprevalence of 57%. In addition, bulk milk samples of the same farms, and historically BT-negative samples were tested.","10.1016/j.vetmic.2008.01.004","Kramps et al., 2008",2008,"AA","DiagnosticTest","DiagnosticTest_59",NA,NA,NA,"ELISA","Serum; milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.8864,0.8539,0.9223,NA,NA,"The sensitivity of the SICCT test reported in the literature shows a lot of variation and was reported in previous research based on summary values of field trials [1] to be between 52.0% and 100% with median values of 80.0% and 93.5% for standard and severe interpretations, respectively. Research based on meta-analyses in a systematic review of the scientific literature using Bayesian logistic regression models concluded the median sensitivity for the SICCT test (standard interpretation) to be 50% with wide Bayesian credible intervals (CrI) (95% CrI 26–78% (median sensitivity of 63% (95% CrI 40–84%) at severe interpretation) [7]. The same study stated the median sensitivity of routine post-mortem examination at meat inspection to be 71% (95% CrI 37–92%).","10.1017/s0950268819000888","O'Hagan et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_60",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.9999,0.9997,1,NA,NA,"The specificity of the SICCT test has previously been estimated at over 99.9% [1]. Similar figures were quoted (specificity of 99.98% (95% confidence interval (CI) ±0.004%)) for standard interpretation and for severe interpretation (99.91% (95% CI ±0.013%)) [3]. The previously mentioned study using meta-analyses [7] found a median specificity for the SICCT test of 100% (95% CrI 99–100%) and a similar figure for the median specificity of routine post-mortem examination (100%; 95% CrI 99–100%).","10.1017/s0950268819000888","O'Hagan et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_61",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.9327,0.9015,0.9655,NA,NA,"The sensitivity of the SICCT test reported in the literature shows a lot of variation and was reported in previous research based on summary values of field trials [1] to be between 52.0% and 100% with median values of 80.0% and 93.5% for standard and severe interpretations, respectively. Research based on meta-analyses in a systematic review of the scientific literature using Bayesian logistic regression models concluded the median sensitivity for the SICCT test (standard interpretation) to be 50% with wide Bayesian credible intervals (CrI) (95% CrI 26–78% (median sensitivity of 63% (95% CrI 40–84%) at severe interpretation) [7]. The same study stated the median sensitivity of routine post-mortem examination at meat inspection to be 71% (95% CrI 37–92%).","10.1017/s0950268819000888","O'Hagan et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_62",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.9999,0.9962,1,NA,NA,"The specificity of the SICCT test has previously been estimated at over 99.9% [1]. Similar figures were quoted (specificity of 99.98% (95% confidence interval (CI) ±0.004%)) for standard interpretation and for severe interpretation (99.91% (95% CI ±0.013%)) [3]. The previously mentioned study using meta-analyses [7] found a median specificity for the SICCT test of 100% (95% CrI 99–100%) and a similar figure for the median specificity of routine post-mortem examination (100%; 95% CrI 99–100%).","10.1017/s0950268819000888","O'Hagan et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_63",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,"post mortem",NA,NA,NA,0.5365,0.5259,0.5475,NA,NA,"The sensitivity of the SICCT test reported in the literature shows a lot of variation and was reported in previous research based on summary values of field trials [1] to be between 52.0% and 100% with median values of 80.0% and 93.5% for standard and severe interpretations, respectively. Research based on meta-analyses in a systematic review of the scientific literature using Bayesian logistic regression models concluded the median sensitivity for the SICCT test (standard interpretation) to be 50% with wide Bayesian credible intervals (CrI) (95% CrI 26–78% (median sensitivity of 63% (95% CrI 40–84%) at severe interpretation) [7]. The same study stated the median sensitivity of routine post-mortem examination at meat inspection to be 71% (95% CrI 37–92%).","10.1017/s0950268819000888","O'Hagan et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_64",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,"post mortem",NA,NA,NA,0.9966,0.996,0.9971,NA,NA,"The specificity of the SICCT test has previously been estimated at over 99.9% [1]. Similar figures were quoted (specificity of 99.98% (95% confidence interval (CI) ±0.004%)) for standard interpretation and for severe interpretation (99.91% (95% CI ±0.013%)) [3]. The previously mentioned study using meta-analyses [7] found a median specificity for the SICCT test of 100% (95% CrI 99–100%) and a similar figure for the median specificity of routine post-mortem examination (100%; 95% CrI 99–100%).","10.1017/s0950268819000888","O'Hagan et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_65",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,"post mortem",NA,NA,NA,0.5087,0.4988,0.5192,NA,NA,"The sensitivity of the SICCT test reported in the literature shows a lot of variation and was reported in previous research based on summary values of field trials [1] to be between 52.0% and 100% with median values of 80.0% and 93.5% for standard and severe interpretations, respectively. Research based on meta-analyses in a systematic review of the scientific literature using Bayesian logistic regression models concluded the median sensitivity for the SICCT test (standard interpretation) to be 50% with wide Bayesian credible intervals (CrI) (95% CrI 26–78% (median sensitivity of 63% (95% CrI 40–84%) at severe interpretation) [7]. The same study stated the median sensitivity of routine post-mortem examination at meat inspection to be 71% (95% CrI 37–92%).","10.1017/s0950268819000888","O'Hagan et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_66",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,"post mortem",NA,NA,NA,0.9968,0.9962,0.9973,NA,NA,"The specificity of the SICCT test has previously been estimated at over 99.9% [1]. Similar figures were quoted (specificity of 99.98% (95% confidence interval (CI) ±0.004%)) for standard interpretation and for severe interpretation (99.91% (95% CI ±0.013%)) [3]. The previously mentioned study using meta-analyses [7] found a median specificity for the SICCT test of 100% (95% CrI 99–100%) and a similar figure for the median specificity of routine post-mortem examination (100%; 95% CrI 99–100%).","10.1017/s0950268819000888","O'Hagan et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_67",NA,NA,NA,"SICCT","Skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.877,0.825,0.923,NA,NA,"The aim of this study was to estimate and compare sensitivities and specificities of bacteriology, histopathology and PCR under French field conditions, in the absence of a gold standard using latent class analysis. The studied population consisted of 5,211 animals from which samples were subjected to bacteriology and PCR (LSI VetMAX™ Mycobacterium tuberculosis Complex PCR Kit, Life Technologies) as their herd of origin was either suspected or confirmed infected with bTB or because bTB-like lesions were detected during slaughterhouse inspection. Samples from 697 of these animals (all with bTB-like lesions) were subjected to histopathology. Bayesian models were developed, allowing for dependence between bacteriology and PCR, while assuming independence from histopathology.","10.1371/journal.pone.0090334","Courcoul et al., 2014",2014,"AA","DiagnosticTest","DiagnosticTest_68",NA,NA,NA,"PCR","Skin lesions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.97,0.943,0.99,NA,NA,"The aim of this study was to estimate and compare sensitivities and specificities of bacteriology, histopathology and PCR under French field conditions, in the absence of a gold standard using latent class analysis. The studied population consisted of 5,211 animals from which samples were subjected to bacteriology and PCR (LSI VetMAX™ Mycobacterium tuberculosis Complex PCR Kit, Life Technologies) as their herd of origin was either suspected or confirmed infected with bTB or because bTB-like lesions were detected during slaughterhouse inspection. Samples from 697 of these animals (all with bTB-like lesions) were subjected to histopathology. Bayesian models were developed, allowing for dependence between bacteriology and PCR, while assuming independence from histopathology.","10.1371/journal.pone.0090334","Courcoul et al., 2014",2014,"AA","DiagnosticTest","DiagnosticTest_69",NA,NA,NA,"PCR","Skin lesions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.781,0.729,0.828,NA,NA,"The aim of this study was to estimate and compare sensitivities and specificities of bacteriology, histopathology and PCR under French field conditions, in the absence of a gold standard using latent class analysis. The studied population consisted of 5,211 animals from which samples were subjected to bacteriology and PCR (LSI VetMAX™ Mycobacterium tuberculosis Complex PCR Kit, Life Technologies) as their herd of origin was either suspected or confirmed infected with bTB or because bTB-like lesions were detected during slaughterhouse inspection. Samples from 697 of these animals (all with bTB-like lesions) were subjected to histopathology. Bayesian models were developed, allowing for dependence between bacteriology and PCR, while assuming independence from histopathology.","10.1371/journal.pone.0090334","Courcoul et al., 2014",2014,"AA","DiagnosticTest","DiagnosticTest_70",NA,NA,NA,"Culture","Skin lesions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.991,0.971,1,NA,NA,"The aim of this study was to estimate and compare sensitivities and specificities of bacteriology, histopathology and PCR under French field conditions, in the absence of a gold standard using latent class analysis. The studied population consisted of 5,211 animals from which samples were subjected to bacteriology and PCR (LSI VetMAX™ Mycobacterium tuberculosis Complex PCR Kit, Life Technologies) as their herd of origin was either suspected or confirmed infected with bTB or because bTB-like lesions were detected during slaughterhouse inspection. Samples from 697 of these animals (all with bTB-like lesions) were subjected to histopathology. Bayesian models were developed, allowing for dependence between bacteriology and PCR, while assuming independence from histopathology.","10.1371/journal.pone.0090334","Courcoul et al., 2014",2014,"AA","DiagnosticTest","DiagnosticTest_71",NA,NA,NA,"Culture","Skin lesions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.7834,0.654,0.912,NA,NA,"This study aims to compare and validate two DNA isolation protocols and three different specific DNA targets, IS6110, IS4, and mpb70, to confirm Mycobacterium tuberculosis complex (MTC) infection by real-time PCR directly from fresh tissue samples. Fresh lymph node samples were collected from 81 cattle carcasses at the slaughterhouse. A comparison of both extraction protocols was performed with IS6110-real-time PCR, showing an adjusted sensitivity (SE) of 78.34% and 95.9% for protocols 1 and 2, respectively, while the specificity (SP) was 100% in both cases. Afterward, the comparison between IS4 and mpb70 targets was performed from the samples extracted with protocol 2, obtaining an adjusted SE of 90.87% and 83.3%, respectively, and an SP of 100% in both cases. The positive likelihood ratio was ∞ for the three targets, and the negative likelihood ratio was 0.04, 0.091, and 0.16 for IS6110, IS4, and mpb70, respectively.","10.1128/spectrum.00348-23","Vera-Salmoral et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_72",NA,NA,NA,"RT-PCR","Tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.959,0.897,1,NA,NA,"This study aims to compare and validate two DNA isolation protocols and three different specific DNA targets, IS6110, IS4, and mpb70, to confirm Mycobacterium tuberculosis complex (MTC) infection by real-time PCR directly from fresh tissue samples. Fresh lymph node samples were collected from 81 cattle carcasses at the slaughterhouse. A comparison of both extraction protocols was performed with IS6110-real-time PCR, showing an adjusted sensitivity (SE) of 78.34% and 95.9% for protocols 1 and 2, respectively, while the specificity (SP) was 100% in both cases. Afterward, the comparison between IS4 and mpb70 targets was performed from the samples extracted with protocol 2, obtaining an adjusted SE of 90.87% and 83.3%, respectively, and an SP of 100% in both cases. The positive likelihood ratio was ∞ for the three targets, and the negative likelihood ratio was 0.04, 0.091, and 0.16 for IS6110, IS4, and mpb70, respectively.","10.1128/spectrum.00348-23","Vera-Salmoral et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_73",NA,NA,NA,"RT-PCR","Tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Experimental","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"This study aims to compare and validate two DNA isolation protocols and three different specific DNA targets, IS6110, IS4, and mpb70, to confirm Mycobacterium tuberculosis complex (MTC) infection by real-time PCR directly from fresh tissue samples. Fresh lymph node samples were collected from 81 cattle carcasses at the slaughterhouse. A comparison of both extraction protocols was performed with IS6110-real-time PCR, showing an adjusted sensitivity (SE) of 78.34% and 95.9% for protocols 1 and 2, respectively, while the specificity (SP) was 100% in both cases. Afterward, the comparison between IS4 and mpb70 targets was performed from the samples extracted with protocol 2, obtaining an adjusted SE of 90.87% and 83.3%, respectively, and an SP of 100% in both cases. The positive likelihood ratio was ∞ for the three targets, and the negative likelihood ratio was 0.04, 0.091, and 0.16 for IS6110, IS4, and mpb70, respectively.","10.1128/spectrum.00348-23","Vera-Salmoral et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_74",NA,NA,NA,"RT-PCR","Tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,"study data vs SICCT",NA,NA,NA,0.366,0.294,0.438,NA,NA,"In this study, performance of two commercial serological assays developed to detect bovine tuberculosis were evaluated: Enferplex Bovine TB antibody kit including 11 antigens (EnferGroup, Ireland) and IDEXX M. bovis Ab kit (IDEXX, USA). The specificity value obtained with the ELISA IDEXX M. bovis Ab test was 97.1%, whereas it was 97.1% and 95.1% for the high specificity and sensitivity settings, respectively, with the Enferplex Bovine TB antibody kit. The sensitivity of the multiplexed Enferplex Bovine TB antibody test for SICCT-positive animals was higher (N = 172; 51.7% and 58.7% with high specificity and sensitivity settings, respectively) compared to the ELISA IDEXX M. bovis Ab test (sensitivity of 36.6%)","10.1016/j.rvsc.2023.04.004","Moens et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_75",NA,NA,NA,"ELISA Ab","Serum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,"manufacturer data vs SICCT",NA,NA,NA,0.695,0.644,0.741,NA,NA,"In this study, performance of two commercial serological assays developed to detect bovine tuberculosis were evaluated: Enferplex Bovine TB antibody kit including 11 antigens (EnferGroup, Ireland) and IDEXX M. bovis Ab kit (IDEXX, USA). The specificity value obtained with the ELISA IDEXX M. bovis Ab test was 97.1%, whereas it was 97.1% and 95.1% for the high specificity and sensitivity settings, respectively, with the Enferplex Bovine TB antibody kit. The sensitivity of the multiplexed Enferplex Bovine TB antibody test for SICCT-positive animals was higher (N = 172; 51.7% and 58.7% with high specificity and sensitivity settings, respectively) compared to the ELISA IDEXX M. bovis Ab test (sensitivity of 36.6%)","10.1016/j.rvsc.2023.04.004","Moens et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_76",NA,NA,NA,"ELISA Ab","Serum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,"study data vs bacteriology",NA,NA,NA,0.579,0.422,0.721,NA,NA,"In this study, performance of two commercial serological assays developed to detect bovine tuberculosis were evaluated: Enferplex Bovine TB antibody kit including 11 antigens (EnferGroup, Ireland) and IDEXX M. bovis Ab kit (IDEXX, USA). The specificity value obtained with the ELISA IDEXX M. bovis Ab test was 97.1%, whereas it was 97.1% and 95.1% for the high specificity and sensitivity settings, respectively, with the Enferplex Bovine TB antibody kit. The sensitivity of the multiplexed Enferplex Bovine TB antibody test for SICCT-positive animals was higher (N = 172; 51.7% and 58.7% with high specificity and sensitivity settings, respectively) compared to the ELISA IDEXX M. bovis Ab test (sensitivity of 36.6%)","10.1016/j.rvsc.2023.04.004","Moens et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_77",NA,NA,NA,"ELISA Ab","Serum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,"manufacturer data vs bacteriology",NA,NA,NA,0.646,0.597,0.695,NA,NA,"In this study, performance of two commercial serological assays developed to detect bovine tuberculosis were evaluated: Enferplex Bovine TB antibody kit including 11 antigens (EnferGroup, Ireland) and IDEXX M. bovis Ab kit (IDEXX, USA). The specificity value obtained with the ELISA IDEXX M. bovis Ab test was 97.1%, whereas it was 97.1% and 95.1% for the high specificity and sensitivity settings, respectively, with the Enferplex Bovine TB antibody kit. The sensitivity of the multiplexed Enferplex Bovine TB antibody test for SICCT-positive animals was higher (N = 172; 51.7% and 58.7% with high specificity and sensitivity settings, respectively) compared to the ELISA IDEXX M. bovis Ab test (sensitivity of 36.6%)","10.1016/j.rvsc.2023.04.004","Moens et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_78",NA,NA,NA,"ELISA Ab","Serum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,"study data",NA,NA,NA,0.971,0.945,0.987,NA,NA,"In this study, performance of two commercial serological assays developed to detect bovine tuberculosis were evaluated: Enferplex Bovine TB antibody kit including 11 antigens (EnferGroup, Ireland) and IDEXX M. bovis Ab kit (IDEXX, USA). The specificity value obtained with the ELISA IDEXX M. bovis Ab test was 97.1%, whereas it was 97.1% and 95.1% for the high specificity and sensitivity settings, respectively, with the Enferplex Bovine TB antibody kit. The sensitivity of the multiplexed Enferplex Bovine TB antibody test for SICCT-positive animals was higher (N = 172; 51.7% and 58.7% with high specificity and sensitivity settings, respectively) compared to the ELISA IDEXX M. bovis Ab test (sensitivity of 36.6%)","10.1016/j.rvsc.2023.04.004","Moens et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_79",NA,NA,NA,"ELISA Ab","Serum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,"manufacturer data",NA,NA,NA,0.98,0.975,0.984,NA,NA,"In this study, performance of two commercial serological assays developed to detect bovine tuberculosis were evaluated: Enferplex Bovine TB antibody kit including 11 antigens (EnferGroup, Ireland) and IDEXX M. bovis Ab kit (IDEXX, USA). The specificity value obtained with the ELISA IDEXX M. bovis Ab test was 97.1%, whereas it was 97.1% and 95.1% for the high specificity and sensitivity settings, respectively, with the Enferplex Bovine TB antibody kit. The sensitivity of the multiplexed Enferplex Bovine TB antibody test for SICCT-positive animals was higher (N = 172; 51.7% and 58.7% with high specificity and sensitivity settings, respectively) compared to the ELISA IDEXX M. bovis Ab test (sensitivity of 36.6%)","10.1016/j.rvsc.2023.04.004","Moens et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_80",NA,NA,NA,"ELISA Ab","Serum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.72,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_81",NA,NA,NA,"SIT","Skin (caudal fold)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.988,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_82",NA,NA,NA,"SIT","Skin (caudal fold)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.632,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_83",NA,NA,NA,"SIT","Skin (caudal fold)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_84",NA,NA,NA,"SIT","Skin (caudal fold)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.632,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_85",NA,NA,NA,"SIT","Skin (caudal fold)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.968,NA,NA,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","de la Rua-Domenech et al., 2006",2006,"AA","DiagnosticTest","DiagnosticTest_86",NA,NA,NA,"SIT","Skin (caudal fold)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
